administrator,announced_status,capacity,census,complaint_control_number,complaint_status,date_signed,evaluator_name,facility_id,facility_name,facility_number,facility_type_code,facility_type_name,fetch_url,form_number,investigation_findings,met_with,narrative,report_date,report_index,report_type,status,supervisor_name,time_began,time_completed,visit_date,visit_type,deficiency_1_deficiency_type,deficiency_1_description,deficiency_1_plan_of_correction,deficiency_1_poc_due_date,deficiency_1_section_cited,deficiency_2_deficiency_type,deficiency_2_description,deficiency_2_plan_of_correction,deficiency_2_poc_due_date,deficiency_2_section_cited,deficiency_3_deficiency_type,deficiency_3_description,deficiency_3_plan_of_correction,deficiency_3_poc_due_date,deficiency_3_section_cited,deficiency_4_deficiency_type,deficiency_4_description,deficiency_4_plan_of_correction,deficiency_4_poc_due_date,deficiency_4_section_cited,deficiency_5_deficiency_type,deficiency_5_description,deficiency_5_plan_of_correction,deficiency_5_poc_due_date,deficiency_5_section_cited,deficiency_6_deficiency_type,deficiency_6_description,deficiency_6_plan_of_correction,deficiency_6_poc_due_date,deficiency_6_section_cited,deficiency_7_deficiency_type,deficiency_7_description,deficiency_7_plan_of_correction,deficiency_7_poc_due_date,deficiency_7_section_cited,deficiency_8_deficiency_type,deficiency_8_description,deficiency_8_plan_of_correction,deficiency_8_poc_due_date,deficiency_8_section_cited
SHAKISHA HOWARD,UNANNOUNCED,4,2,32-CR-20241209160517,SUBSTANTIATED,3/11/2025 14:19,Heriberto Perez,197806914,BELLA VISTA AT TAYLOR,197806914,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=197806914&inx=12,LIC9099,"On March 11, 2025, Licensing Program Analyst (LPA) Heriberto Perez conducted a follow-up complaint inspection to the above facility and met with Shakisha Henry, Administrator. The purpose of the inspection was to deliver the revised finding for the above complaint allegations. During the course of the investigation, LPA interviewed one staff and one youth in person in the facility and conducted telephone interview with County Social Worker (CSW2) on 12/12/24, LPA conducted telephone interivew with County Social Worker (CSW) on 12/19/24, LPA conducted telephone interviews with three staff and interviewed one minor in person on 02/25/25 (see Confidential Names Form LIC 811 dated March 11, 2025). LPA also reviewed documents including but not limited to Client's Need and Service Plans, Special Incident Reports (SIR), client's notes, law enforcement report and other documents. It was alleged Staff spoke inappropriately to youth.","Shakisha Henry, Administrator",,3/11/2025,12,COMPLAINT_INVESTIGATION,,Gustavo Garcia,2:06 PM,2:40 PM,3/11/2025,,B,"87072 (c) (16) PERSONAL RIGHTS: To be free of physical, sexual, emotional, or other abuse, and from corporal or unusual punishment, *exploitation,* infliction of pain, humiliation, intimidation, ridicule, coercion, threat, mental abuse, or other actions of a punitive nature.........","POC: The facility will provide training to the facility staff on personal rights, de-escalation techniques and interaction with clients.The facility will provide training sign in sheet and covered material.",3/25/2025,87072(C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEAL, DUJUANA",UNANNOUNCED,4,2,34-CR-20210702112046,SUBSTANTIATED,7/26/2021 11:28,Connie Jones-Steward,198209656,BELLA VISTA EVERGREEN HOUSE,198209656,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=198209656&inx=0,LIC9099,"Licensing Program Analyst Connie Jones-Steward met with Maria Luna at Bella Vista Maple because no one was available at the Evergreen location. The purpose was to finalize this complaint investigation. LPA arrived at the Maple St. location at 12:30 PM after having been to the Evergreen location at 12:00 PM. On July 19, 2021, Licensing Program Analyst Connie Jones-Steward received an emailed copy of a clearance letter from a company named Mold Inspection & Testing. The letter indicated that professional mold remediation was not required. LPA Jones-Steward contacted the technician who issued the letter for clarification. The technician informed LPA Jones-Steward that mold was found at the home. However the level of mold was not enough to presentt an immediate health hazard. The technician stated that he had verbally advised the administrator to enlist a prfessional HVAC cleaner to remove the mold that did exist. Based on consultation with the technician who inspected the home, the allegation that mold was found in the home was substantiated. A finding that the complaint is substantiated means that the allegation is valid because the preponderance of the evidence standard has been met.",Maria Luna,,7/23/2021,0,COMPLAINT_INVESTIGATION,,Lakescia Smith,12:30 PM,1:00 PM,7/23/2021,,B,"Buildings and Grounds
The facility shall be clean, safe, sanitary and in good repair at all times for the safety and well-being of clients, employees and visitors.",The licensee hired a professional mold remediation servic to address the issue. the mold removal technichian stated that the mold did not present an immediate hazard and adviced the faility to hire a professional HVAC service to remove the mold that was found. The licensee shall,8/6/2021,80087(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEAL, DUJUANA",UNANNOUNCED,4,0,34-CR-20211015154939,SUBSTANTIATED,12/13/2023 10:39,Connie Jones-Steward,198209656,BELLA VISTA EVERGREEN HOUSE,198209656,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=198209656&inx=4,LIC9099,"Licensing Program Analyst Connie Jones-Steward investigated the above allegation. LPA interviewed the administrator, facility manager, direct care staff and the police officer who witnessed the reported allegations. LPA also reviewed the client's most recent individualized personal plan (IPP) and the schedule for the date of the incident. LPA found that there was only one staff person on duty during the time of the AWOL. However based on the client's IPP, she had AWOLED several times in a 6 month period and was prone to agressive and assaultive behavior. Her AWOL frequency and violent behavior were indicative of a need for increased supervision. Based on the available information, the above allegations are resolved as substantiated. Substantiated means that there is a preponderance of evidence that the allegation true. Facility was cited under 80078(a) Responsibility To Provide Care and Supervision","Lavetha Oliver, Administrator for Zook",,11/17/2023,4,COMPLAINT_INVESTIGATION,,Lakescia Smith,3:00 PM,3:30 PM,11/17/2023,,B,"Responsibility to provide care & supervision
The licensee shall provide care and supervision as necessary to meet the client's needs.",The licensee shall submit a written plan to detail how supervision will be based on client needs and behaviors as well as regulatory ratios.,1/2/2024,80078(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEJIA, CARLOS",UNANNOUNCED,3,3,34-CR-20210514131708,SUBSTANTIATED,7/22/2022 16:42,Connie Jones-Steward,198209658,BELLA VISTA WYOMING HOUSE,198209658,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=198209658&inx=3,LIC9099,"Licensing Program Analyst Connie Jones-Steward met with Ms. Henry to resolve the allegations. This allegation was previously discussed with the previous administrator Teandra Pitts. During the discussion with Ms. Pitts it was determined tha Community Care licensing was not receiving incident reports. The incident reports were batch submitted to CCL on 05/28/21 after LPA informed Ms. Pitts of Title 22 reporting requirements. Based on the above information, the allegation was substaintiated. A substantiated finding means that the â€œpreponderance of the evidenceâ€ standard has been met. The facility was cited under Title 22 Regulation 80061 Reporting Requirements.","Shakisha Henry, Administrator",,7/21/2022,3,COMPLAINT_INVESTIGATION,,Lakescia Smith,2:42 PM,2:43 PM,7/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEJIA, CARLOS",UNANNOUNCED,3,3,34-CR-20210517090841,SUBSTANTIATED,7/22/2022 16:38,Connie Jones-Steward,198209658,BELLA VISTA WYOMING HOUSE,198209658,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=198209658&inx=5,LIC9099,"Licensing Program Analyst Connie Jones-Steward met with administrator Shakisha Henry to resolve the above allegations. The allegations were initially discussed with former administrator Teandra Potts. During the course of the investigation it was dtermined that when C1 would not eat certain foods, he was given snacks that he would eat as an alternative because the staff did not want to cook two separate meals. LPA discussed with Ms. Henry that since food is a major source of anxiety with C1 that efforts should be made to ensure that all meals include foods that appeal to him as well as the other clients. Based on interviews and file reviews, this allegation was resolved as substantiated. A substantiated finding means that the â€œpreponderance of the evidenceâ€ standard has been met. The facility was cited under Title 22 80076(a)(2)",Shakisha Henry,,7/21/2022,5,COMPLAINT_INVESTIGATION,,Lakescia Smith,3:17 PM,5:00 PM,7/21/2022,,A,"Food Service
The licensee shall ensure that all clients receive at least three meals per day.","Per Ms. Henry this issue has been resolved. When C1 refuses to eat what's on the menu, they will serve him from the food that his mother buys for him. This is usually a sandwich or pizza along with vegetables or fruit. The substitutions result in a full meal. LPA advised Ms. Henry to document instances when C1 will refuse a meal and document the",7/28/2022,80076(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEJIA, CARLOS",UNANNOUNCED,3,,34-CR-20210517090841,SUBSTANTIATED,3/10/2023 12:59,Connie Jones-Steward,198209658,BELLA VISTA WYOMING HOUSE,198209658,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=198209658&inx=6,LIC9099,"Licensing Program Analyst Connie Jones-Steward met with administrator Shakisha Henry to resolve the above allegations. The allegations were initially discussed with former administrator Teandra Potts. Per Ms Henry and Ms. Potts there were miscommunications that led to C1 being sent to school without a sufficient supply of diapers or clothing changes. Ms. Henry also admitted that a former employee had ruined the clothing of C1 by using too much bleach in the wash. On the date of inspection, LPA reviewed the clothing of C1 and found that the ruined clothing had been replaced by clothing in good condition. LPA ws not able to reach school personnel, but both the mother and regional center coordinator for C1 agreed that he was no longer being sent to school eith insufficient clothing. Based on the investigation, interviews and review of C1's file the above allegations were found to be substantiated. A substantiated finding means that the â€œpreponderance of the evidenceâ€ standard has been met. The facility was cited under Title 22 Section 80078(a).",Shakisha Henry,,7/21/2022,6,COMPLAINT_INVESTIGATION,,Lakescia Smith,3:39 PM,5:00 PM,7/21/2022,,A,Responsibility For Providing Care & Supervision.The licensee shall provide care and supervision as necessary to meet the client's needs.,"According to Ms. Henry she is aware that these issues have occured in the past. She will submit a written corrective action plan to address how a recurrence of these issues will be prevented,",7/28/2022,80078(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEJIA, CARLOS",UNANNOUNCED,3,2,34-CR-20220714083446,SUBSTANTIATED,2/15/2024 12:49,Connie Jones-Steward,198209658,BELLA VISTA WYOMING HOUSE,198209658,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=198209658&inx=10,LIC9099,"Licensing Program Analyst Connie Jones-Steward investigated the above allegation. LPA reviewed client records and interviewed staff, behavioral consultants, regional center coordinators and parents, LPA also made personal observations of the suprvision being provided to clients on two separate visits. Based on the records reviews, interviews and personal observations, it was determined that Bella Vista Wyoming has not been providing the supervision that is necessitated by the clients needs and required by the regional center. LPA has personally observed the facility to not adhere to the ratios required by regional center. LPA has also been advised by several witnesses that the facility is frequently in violation of the said ratios, Therefore the allegation is substantiated A substantiated finding means that there is a preponderance of evidence that an allegation did occur.","Shakisha Henry, Administrator",,2/15/2024,10,COMPLAINT_INVESTIGATION,,Lakescia Smith,12:20 PM,12:45 PM,2/15/2024,,B,"Responsibility to provide care & supervision
The licensee shall provide care and supervision as necessary to meet the client's needs.",Licensee provided updated schedule showing at least three staff on duty at all times. Administrator acknowleges that behavioral consultants cannot be counted toward Staff/Client ratios. Administrator will submit further corrective action plans in writing,3/15/2024,80078(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JAMES, ONEISHA",UNANNOUNCED,3,0,34-CR-20220919152958,SUBSTANTIATED,12/28/2022 13:14,Charmetha White,198209659,BELLA VISTA ZOOK HOUSE,198209659,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=198209659&inx=7,LIC9099,"This report is being Amended from the original dated 12/12/2022 in order to correct the citation type on the 9099D page. On December 12, 2022, Licensing Program Analyst (LPA) C. White conducted an unannounced visit to Bella Vista Zook for the purpose of delivering findings on the above allegations. LPA spoke with Administrator, Lavatha Oliver. During the course of this investigation, LPA interviewed pertinent parties, reviewed records, and gathered documentation. Confidential interviews and records produced corroborating evidence to support the allegations. Staff interviews reveal that staff handled client in a rough manner while performing a one-man restraint causing the client injuries. As a result, the staff was terminated from service. Client interview reveal that staff pushed client and injured the clientâ€™s neck. Based on information obtained, the allegation is Substantiated per California Code of Regulations Title 22 Division 6 Chapter 5. Facility cited for violation of California Code of Regulations, Title 22 Division 6, Chapter 5 regulation 87072(d)(11): Personal Rights.",Administrator - Lavatha Oliver,,12/12/2022,7,COMPLAINT_INVESTIGATION,,Lakescia Smith,1:45 PM,3:45 PM,12/12/2022,,A,"84072(d)(11): To be free of physical, sexual, emotional, or other abuse, and from corporal or unusual punishment. 

This requirement is not met as evidenced by:","Facility Administrator will have all staff take a refresher CPI course, which will include documentation, and reporting requirements. Administrator will provide evidence of the training including training topic, instructor name and qualification, and staff sign-in sheet. This will be sent to CCL by 01/13/2023.",12/12/2022,84072(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIANA RAMIREZ,UNANNOUNCED,6,5,22-CR-20210604093957,SUBSTANTIATED,8/23/2021 16:00,Nicole Strickland,306000382,BOYS HOPE/GIRLS HOPE,306000382,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=306000382&inx=0,LIC9099,"On August 23, 2021 at 1:00 pm Licensing Program Analyst (LPA), Nicole Strickland, met with Boys Hope/Girls Hope Program House Manager Chelsea Breckenridge to deliver the finding for the above stated allegation. The investigation was conducted by Community Care Licensing (CCL) Investigation Branch Special Investigator (SI) Annette Renquist. The investigation included interviews with Program Director, Staff #1 (S1), Child #1 (C1), Child #2 (C2), Child #3 (C3), Child #4 (C4), Child #5 (C5), and Fullerton Police Department officers. In addition, county records and facility records were reviewed. On June 4, 2021 Community Care Licensing (CCL) received an allegation alleging Staff member (Staff #1 [S1]) sexually abused group home child (Child #1 [C1]). Specifically, it was reported between August 2020 and February 2021, S1 would touch C1 inappropriately while in the facility and while being transported. Additionally, it was reported on at least two occasions S1 took C1 from the facility in the middle of the night ***CONTINUED ON NEXT PAGE***",Chelsea Breckenridge,,8/23/2021,0,COMPLAINT_INVESTIGATION,,Natasha Dunlap,1:00 PM,1:42 PM,8/23/2021,,A,"Personal Rights: (d) The licensee shall ensure that each child... specified in Welfare and Institutions Code section 16001.9, as applicable.  (11) To be free from physical, sexual, emotional, or other abuse, and corporal punishment. 

This requirement is not met as evidenced by",Staff #1 (S1) is no employed by the facility Administrator (ADM) will provide documentation of S1's termination letter by POC date 8/24/2021.  ADM also stated facility has Installed security systems to monitor entrance and exits of the facility.  ADM stated that they have worked with a risk management organization who have increased training's for all staff.,8/24/2021,84072(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEA BERADZE,UNANNOUNCED,21,3,26-CR-20240306170132,SUBSTANTIATED,11/8/2024 12:37,Paul Simien,445200283,"CAMP RECOVERY CENTER, LLC, THE",445200283,730,Type 730,https://www.ccld.dss.ca.gov/transparencyapi/api/FacilityReports?facNum=445200283&inx=11,LIC9099,"Licensing Program Analyst (LPA) Paul Simien made an unannounced visit to the above listed facility office to inform them of the findings for the above listed allegations. LPA met with Tea Beradze, Administrator at 11:45 AM on 11/8/24. Based on confidential interviews conducted it was determined that the allegations listed above are Substantiated. Based on witnesses interviewed and records reviewed, LPA was able to find evidence that staff did not prevent minors from engaging in sexual activity. The preponderance of evidence standard has been met, therefore the above allegations are found to be SUBSTANTIATED. As a result of this visit, there is one General Licensing Standards violation (84065.2 Personal Duties (b)(1)). The facility will be cited (see 809-Ds for details). Appeal rights were discussed and provided. Exit interview was conducted and a copy of this report was provided to Tea Beradze, Administrator.","Tea Beradze, Administrator",,11/8/2024,11,COMPLAINT_INVESTIGATION,,Helga Wong,11:45 AM,12:45 PM,11/8/2024,,A,"84065.2 Personal Duties (b) Child care staff shall perform the following duties:
(1) Supervision, protection and care of children individually and in groups at all times.

This requirement is not met evidenced by:",Facility will create a plan of action to address the supervision issues of the staff. The facility will send LPA plan of action by 11/12/24.,11/12/2024,2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
