Facility Name,Legislative District Number,LicenseNumber,FacilityId,Parent Company,Website,Street,City,Zip,County,Capacity,Phone,Notes,Legislator_1,Legislator_2,Legislator_3,Legislator_4,Party_1,Party_2,Party_3,Party_4,Email_1,Email_2,Email_3,Email_4,Unnamed: 4_1,Unnamed: 4_2,Unnamed: 4_3,Unnamed: 4_4,Unnamed: 5_1,Unnamed: 5_2,Unnamed: 5_3,Unnamed: 5_4
"***Last Updated August 1, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A CARING COMMUNITY LLC,27.0,BH6807,001cs00000Wo4VOAAZ,,https://www.acaringcommunityllc.com/,3931 West Sweetwater Avenue,Phoenix,85029.0,Maricopa,5.0,6022998430,,Lisa Fink,Tony Rivero,Kevin Payne,,R,R,R,,Email: LFINK,Email: TRIVERO,Email: KPAYNE,,Room 345,Room 112,Room 302,,(602) 926-3516,(602) 926-3528,(602) 926-4854,
ADVANCED BEHAVIORAL HEALTH LLC,29.0,BH10468,001cs00000Wo4m9AAB,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001cs00000Wo4m9AAB&programType=Health%20Care%20Facilties,25786 North Desert Mesa Drive,Surprise,85387.0,Maricopa,10.0,(480)269-5771,,James Taylor,Steve Montenegro -- Speaker,Janae Shamp,,R,R,R,,Email: JTAYLOR,Email: SMONTENEGRO,Email: JSHAMP,,Room 344,Room 223,Room 212,,(602) 926-3564,(602) 926-3635,(602) 926-3499,
Align Origin,19.0,BHRF20018,001cs00000XFRBNAA5,,,3333 N In Balance Rd Building 1 & 2,Huachuca City,85616.0,,8.0,(520) 722-9631,Rebranded from In Balance Ranch,Lupe Diaz,Gail Griffin,David Gowan,,R,R,R,,Email: LDIAZ,Email: GGRIFFIN,Email: DGOWAN,,Room 302,Room 225,Room 300,,(602) 926-4852,(602) 926-5895,(602) 926-5154,
ALL ABOUT KIDS,13.0,BH3031,001cs00000Wo540AAB,,Not found,2510 East Yellowstone Place,Chandler,85249.0,Maricopa,5.0,4802289510,,Jeff Weninger,Julie Willoughby -- Majority Whip,J.D. Mesnard,,R,R,R,,Email: JWENINGER,Email: JWILLOUGHBY,Email: JMESNARD,,Room 316,Room 207,Room 309,,(602) 926-3392,(602) 926-4153,(602) 926-4481,
ANGEL SAFE HAVEN LLC,25.0,BH6115,001cs00000Wo5H5AAJ,,Not found,2571 North 149th Avenue,Goodyear,85395.0,Maricopa,5.0,6232106382,,Nick Kupper,Michael Carbone -- Majority Leader,"Timothy ""Tim"" Dunn",,R,R,R,,Email: NKUPPER,Email: MCARBONE,Email: TDUNN,,Room 318,Room 208,Room 310,,(602) 926-3512,(602) 926-4038,(602) 926-4139,
ANIMALS FACILITATING ADOLESCENTS AND CHILDREN,13.0,BH4395,001cs00000Wo5XmAAJ,,Not found,"39213 South Wild Hardt Way, Suite A",Marana,85658.0,Pima,5.0,5204009444,,Jeff Weninger,Julie Willoughby -- Majority Whip,J.D. Mesnard,,R,R,R,,Email: JWENINGER,Email: JWILLOUGHBY,Email: JMESNARD,,Room 316,Room 207,Room 309,,(602) 926-3392,(602) 926-4153,(602) 926-4481,
ARIZONA CHILDREN'S GROUP LLC,12.0,BH5927,001cs00000Wo5bxAAB,,https://www.azchildrensgroup.com/,142 West Ivanhoe Place,Chandler,85225.0,Maricopa,5.0,4809551454,,Stacey Travers -- Minority Whip,Patty Contreras,Denise “Mitzi” Epstein,,D,D,D,,Email: STRAVERS,Email: PCONTRERAS,Email: MEPSTEIN,,Room 322,Room 126,Room 315,,(602) 926-3917,(602) 926-4057,(602) 926-4870,
ARTEMIS ADOLESCENT HEALING CENTER,17.0,BH10722,001cs00000Wo6GAAAZ,,https://artemisaz.com/,16330 North Forecastle Avenue,Tucson,85739.0,Pima,10.0,5206148647,,Kevin Volk,Rachel Keshel,"Venden ""Vince"" Leach",,D,R,R,,Email: KVOLK,Email: RKESHEL,Email: VLEACH,,Room 119,Room 303,Room 303,,(602) 926-3498,(602) 926-3558,(602) 926-3694,
AVERY'S HOUSE,4.0,BH7285,001cs00000Wo6YRAAZ,,Not found,11057 North Pinto Drive,Fountain Hills,85268.0,Maricopa,10.0,4804362725,,Pamela Carter,Matt Gress,Carine Werner,,R,R,R,,Email: PCARTER,Email: MGRESS,Email: CWERNER,,Room 304,Room 205,Room 301,,(602) 926-3153,(602) 926-4105,(602) 926-3673,
AVERY'S HOUSE LLC,10.0,BH7513,001cs00000Wo6YSAAZ,,https://www.averyshouse.com/landing/residential/?gad_source=1&gad_campaignid=22785869200&gbraid=0AAAAApKjrupkcWjDO-epO0xbbfUQpkjTz&gclid=Cj0KCQjwnovFBhDnARIsAO4V7mAYVKz40aaJs4AAMCRhamlJxZASpx39XHTQhVt9BJotlQ81Y9fBKrAaAkHTEALw_wcB,2416 North 113th Street,Apache Junction,85120.0,Pinal,10.0,4806706761,,Justin Olson,Ralph Heap,David C. Farnsworth,,R,R,R,,Email: JOLSON,Email: RHEAP,Email: DFARNSWORTH,,Room 113,Room 309,Room 303,,(602) 926-3376,(602) 926-3381,(602) 926-3387,
BACK TO LIFE INC,24.0,BH2772,001cs00000Wo6bUAAR,,https://backtolifeinc2.com/,5915 West Roanoke Avenue,Phoenix,85035.0,Maricopa,8.0,6235189552,,Anna Abeytia,Lydia Hernandez,Analise Ortiz,,D,D,D,,Email: AABEYTIA,Email: LHERNANDEZ,Email: ANALISE.ORTIZ,,Room 121,Room 334,Room 308,,(602) 926-3501,(602) 926-3553,(602) 926-3633,
"BACK TO LIFE, INCORPORATED",22.0,BH5803,001cs00000Wo6bWAAR,,https://backtolifeinc2.com/,6420 West Cocopah Street,Phoenix,85043.0,Maricopa,6.0,6235189552,,Elda Luna-Nájera,Lupe Contreras,Eva Diaz,,D,D,D,,Email: ELUNA-NAJERA,Email: LCONTRERAS,Email: EVA.DIAZ,,Room 332,Room 331,Room 313,,(602) 926-3881,(602) 926-5284,(602) 926-3473,
