Program_Name,Category,City,State,Phone,Website
Alpine Academy,Residential Treatment Center,Salt Lake City,UT,(435) 228-0100,"""http://www.alpineacademy.org/"","
ARCH Academy of Cumberland Heights,Residential Treatment Center,Kingston Springs,TN,(844) 272-4674,"""http://www.arch.org/"","
Ascend Healthcare,Residential Treatment Center,Encino,CA,(310) 359-9403,"""http://www.ascendhc.com/"","
BNI Treatment Centers,Residential Treatment Center,Agoura Hills,CA,(818) 230-6882,"""http://bnitreatment.com/"","
"Cascade Academy, LLC",Residential Treatment Center,Midway,UT,(435) 562-5800,"""http://www.thecascadeprograms.com/"","
Confluence Behavioral Health,Residential Treatment Center,Thetford Center,VT,(802) 727-0019,"""http://www.confluencevt.com/"","
Constellation Behavioral Health,Residential Treatment Center,La Mesa,CA,(844) 283-6083,"""http://www.constellationbh.com/"","
CooperRiis,Residential Treatment Center,Mill Spring,NC,(828) 894-7140,"""http://cooperriis.org/"","
Discovery Ranch,Residential Treatment Center,Mapleton,UT,(801) 489-3311,"""http://www.discoveryranch.net/"","
Discovery Ranch South,Residential Treatment Center,Cedar City,UT,(855) 667-9388,"""http://www.discoveryranchsouth.com/"","
Elevations RTC,Residential Treatment Center,Syracuse,UT,(801) 773-0200,"""http://www.elevationsrtc.com/"","
Family First Adolescent Services,Residential Treatment Center,Palm Beach Gardens,FL,(561) 328-7370,"""http://familyfirstas.com/"","
Fulshear Treatment To Transition,Residential Treatment Center,Needville,TX,(979) 985-3243,"""http://www.fulsheartransition.com/"","
"Gateway Academy, LLC",Residential Treatment Center,Draper,UT,(801) 523-3479,"""http://www.gatewayacademy.net/"","
"Havenwood Academy, Inc.",Residential Treatment Center,,,(435) 586-2500,"""http://www.havenwoodacademy.org/"","
"Heritage Schools, Inc.",Residential Treatment Center,Provo,UT,(801) 226-4600,"""http://www.heritagertc.org/"","
Imperial Healing Estate,Residential Treatment Center,Provo,UT,(385) 312-0352,"""https://www.imperialhealinghouse.com/"","
Intermountain,Residential Treatment Center,Helena,MT,(406) 457-4778,"""http://www.intermountainresidential.org/"","
