Facility ID,Name,Address,Regulation Date,Expiration Date,Conditional,Inspection 1 Date,Inspection 1 Type,Inspection 1 Findings,Inspection 2 Date,Inspection 2 Type,Inspection 2 Findings,Inspection 3 Date,Inspection 3 Type,Inspection 3 Findings,Inspection 4 Date,Inspection 4 Type,Inspection 4 Findings,Inspection 5 Date,Inspection 5 Type,Inspection 5 Findings,Inspection 6 Date,Inspection 6 Type,Inspection 6 Findings,Inspection 7 Date,Inspection 7 Type,Inspection 7 Findings,Inspection 8 Date,Inspection 8 Type,Inspection 8 Findings,Inspection 9 Date,Inspection 9 Type,Inspection 9 Findings,Inspection 10 Date,Inspection 10 Type,Inspection 10 Findings,Inspection 11 Date,Inspection 11 Type,Inspection 11 Findings,Inspection 12 Date,Inspection 12 Type,Inspection 12 Findings,Inspection 13 Date,Inspection 13 Type,Inspection 13 Findings,Inspection 14 Date,Inspection 14 Type,Inspection 14 Findings,Inspection 15 Date,Inspection 15 Type,Inspection 15 Findings,Inspection 16 Date,Inspection 16 Type,Inspection 16 Findings,Inspection 17 Date,Inspection 17 Type,Inspection 17 Findings,Inspection 18 Date,Inspection 18 Type,Inspection 18 Findings,Inspection 19 Date,Inspection 19 Type,Inspection 19 Findings,Inspection 20 Date,Inspection 20 Type,Inspection 20 Findings
96697,ARDU Recovery Center LLC (Provo),"1053 W 1020 S, Provo, UT, 84601",1/1/2023,12/31/2025,FALSE,12/17/2024,Non On-Site Inspection,None,12/12/2024,"Announced, Annual Inspection","R501-14-5(2)(a)-(f): Submitting application for an initial background screening... | Finding: The provider was out of compliance with this rule by not ensuring applicants were directly supervised until the office issued a conditional or eligible clearance determination, and documenting how the individual remained supervised for the entirety of their supervised employment term before receiving a clearance determination.   During the inspection, 3 employees did not have a documented method of supervision until their background clearance determination came....",12/14/2023,Non On-Site Inspection,None,11/30/2023,"Announced, Annual Inspection",None,12/6/2022,"Announced, Annual Inspection",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93201,Alliance Youth Services dba The Pointe,"4735 N Thanksgiving Way, Lehi, UT, 84043",12/1/2021,11/30/2025,FALSE,4/14/2025,2nd Unannounced,None,3/3/2025,Investigation Inspection,None,1/22/2025,Non On-Site Inspection,None,1/16/2025,"Unannounced, Annual Inspection",None,10/10/2024,"Announced, Annual Inspection",None,9/11/2024,Investigation Inspection,None,8/16/2024,3rd Unannounced,None,6/26/2024,2nd Unannounced,None,6/26/2024,Non On-Site Inspection,None,6/11/2024,Investigation Inspection,None,5/17/2024,Follow-Up Inspection,None,4/1/2024,Non On-Site Inspection,None,3/14/2024,"Unannounced, Annual Inspection",None,2/9/2024,Focus Inspection,"R380-80-5(4): Provider shall protect clients from abuse, prevent abuse... | Finding: The provider was out of compliance with this rule by a staff member exposing the clients to potential harm or acts of violence during the road rage incident. The staff members  actions allowed the other driver and clients to engage in a physical altercation resulting in acts of violence and potential harm. During the investigation inspection, client interviews substantiated that the staff member did not take any action to protect the clients.... | R380-80-4(2): Report abuse or neglect... | Finding: The provider was out of compliance with this rule by failing to report alleged neglect and criminal activity to law enforcement or Child Protective Services. During the inspection, through documentation review, it was observed that neither staff involved in the incident notified Child Protective Services or law enforcement....",1/12/2024,Investigation Inspection,None,10/17/2023,"Announced, Annual Inspection",None,9/27/2023,Non On-Site Inspection,None,9/20/2023,Investigation Inspection,None,9/5/2023,3rd Unannounced,None,6/15/2023,3rd Unannounced,None
93220,Alliance Youth Services dba Timpview,"200 N Anderson Ln, Lindon, UT, 84042",12/1/2021,11/30/2025,FALSE,4/14/2025,2nd Unannounced,None,1/16/2025,"Unannounced, Annual Inspection",None,10/10/2024,"Announced, Annual Inspection",None,8/23/2024,3rd Unannounced,None,7/8/2024,Investigation Inspection,None,7/8/2024,Investigation Inspection,None,6/26/2024,2nd Unannounced,None,4/11/2024,Non On-Site Inspection,None,3/14/2024,"Unannounced, Annual Inspection",None,1/12/2024,Investigation Inspection,None,10/17/2023,"Announced, Annual Inspection",None,9/27/2023,Non On-Site Inspection,None,9/19/2023,Investigation Inspection,None,9/5/2023,3rd Unannounced,None,8/29/2023,"Investigation Inspection, Non On-Site Inspection",None,8/28/2023,"Investigation Inspection, Non On-Site Inspection",None,6/20/2023,3rd Unannounced,None,5/15/2023,Investigation Inspection,None,4/27/2023,Investigation Inspection,None,4/24/2023,Investigation Inspection,None
93242,Alpine Academy dba Gene Smith Home,"4076 N Droubay Rd, Tooele, UT, 84074",9/1/2022,8/31/2025,FALSE,7/8/2025,"Announced, Annual Inspection",None,5/20/2025,3rd Unannounced,None,2/27/2025,3rd Unannounced,None,12/26/2024,2nd Unannounced,None,3/7/2024,2nd Unannounced,None,11/9/2023,"Unannounced, Annual Inspection",None,7/19/2023,"Announced, Annual Inspection",None,5/16/2023,2nd Unannounced,None,2/14/2023,"Unannounced, Annual Inspection",None,12/2/2022,"Announced, Annual Inspection",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93243,Ascent Inc. dba Redcliff Ascent,"709 E Main St, Enterprise, UT, 84725",11/1/2021,10/31/2025,FALSE,4/17/2025,3rd Unannounced,None,1/28/2025,2nd Unannounced,None,11/5/2024,"Unannounced, Annual Inspection",None,8/8/2024,"Announced, Annual Inspection",None,6/28/2024,Focus Inspection,R380-80-4(2): Report abuse or neglect... | Finding: The provider was out of compliance with this rule by not immediately notifying the proper investigative authorities for alleged child abuse between clients. During the inspection the provider was aware of suspected child abuse on or around 4/23/2024 but a report to the applicable investigative agency was not done until on or around 5/17/2024....,4/12/2024,2nd Unannounced,None,1/30/2024,"Unannounced, Annual Inspection",None,10/2/2023,"Follow-Up Inspection, Non On-Site Inspection",None,9/6/2023,"Announced, Annual Inspection",None,6/22/2023,"Follow-Up Inspection, Non On-Site Inspection",None,6/21/2023,2nd Unannounced,None,3/15/2023,Non On-Site Inspection,None,2/28/2023,2nd Unannounced,None,2/2/2023,Follow-Up Inspection,None,1/26/2023,Focus Inspection,"R495-876-6(1)(a)-(g): Client rights... | Finding: The provider was out of compliance with this rule by causing harm to clients. During the inspection clients were observed to have received frostbite due to having equipment that did not protect them from the environment.... | R501-8-4(4): Adequate clothing and equipment... | Finding: The provider was out of compliance with this rule by not having clothing and equipment to  protect the client from the environment. In the field clients were observed to have holes in their outer waterproof layers, sleeping bags with holes, and boots that were melted and no longer waterproof. The environment was observed to be sub freezing weather with snow on the ground....",,,,,,,,,,,,,,,
93266,Avalon Hills Healthcare Inc dba Avalon Hills Residential Eating Disorders Program,"8530 S 500 W, Paradise, UT, 84328",3/1/2022,11/30/2025,FALSE,7/1/2025,"Follow-Up Inspection, Non On-Site Inspection",None,6/4/2025,3rd Unannounced,None,4/15/2025,Investigation Inspection,None,3/20/2025,2nd Unannounced,None,12/17/2024,"Unannounced, Annual Inspection",None,10/14/2024,Non On-Site Inspection,None,9/24/2024,"Announced, Annual Inspection",None,6/13/2024,2nd Unannounced,None,3/14/2024,"Unannounced, Annual Inspection",None,12/15/2023,Non On-Site Inspection,None,12/11/2023,"Announced, Annual Inspection",None,12/15/2022,"Announced, Annual Inspection",None,,,,,,,,,,,,,,,,,,,,,,,,
93245,"Blue Hills Residential Treatment, LLC","21360 N 1450 E, Moroni, UT, 84646",12/1/2021,10/31/2025,FALSE,8/7/2025,"Announced, Annual Inspection",None,8/7/2025,"Announced, Annual Inspection",None,5/8/2025,"Follow-Up Inspection, Non On-Site Inspection",None,4/24/2025,"Investigation Inspection, Non On-Site Inspection","R380-600-7(16)(a)-(d): Critical incidents reporting requirements... | Finding: The Licensee was out of compliance with R380-600-7(16)(a-d) by not reporting a critical incident to the Office within one business day. During review of critical incidents it was identified that the incident occurred on 04/21/2025 and was not reported until 04/23/2025. 
This was a repeat noncompliance as noted on 04/10/2023 & 01/07/2025....",4/23/2025,3rd Unannounced,None,3/4/2025,Investigation Inspection,None,2/27/2025,2nd Unannounced,None,12/3/2024,"Unannounced, Annual Inspection",None,11/14/2024,Investigation Inspection,None,9/3/2024,"Announced, Annual Inspection",None,7/23/2024,Investigation Inspection,None,5/29/2024,3rd Unannounced,None,5/15/2024,Investigation Inspection,None,3/25/2024,Investigation Inspection,None,2/26/2024,Non On-Site Inspection,None,2/22/2024,2nd Unannounced,None,2/21/2024,Investigation Inspection,None,12/13/2023,"Unannounced, Annual Inspection",None,8/3/2023,Investigation Inspection,None,8/3/2023,"Announced, Annual Inspection",None
99864,CERTS dba La Europa Academy (RT),"1135 E Vine St, Murray, UT, 84121",3/1/2022,2/28/2026,FALSE,8/6/2025,2nd Unannounced,None,4/29/2025,"Unannounced, Annual Inspection","R501-1-8(1)(a)-(i): Facility and safety requirements... | Finding: The licensee was out of compliance with rule R501-1-8(1)(f) by not having paper towels in one of the upstairs student bathrooms. During the walk through inspection, the licensor observed one of the upstairs student bathrooms was not equipped with paper towels. This is a repeat non compliance as cited on 09/21/2023 and 05/08/2023....",2/25/2025,Investigation Inspection,None,1/21/2025,Non On-Site Inspection,None,1/14/2025,"Announced, Annual Inspection","R501-1-13(5)(a)-(b): Private placement reporting... | Finding: The provider was out of compliance with this rule by not completing the congregate care private placement report for the months of August or September 2024. In reviewing the private placement report, the licensor observed the program had not submitted their report for August or September 2024. This is a repeat non-compliance....",1/6/2025,Investigation Inspection,None,12/10/2024,3rd Unannounced,None,10/4/2024,Follow-Up Inspection,None,8/16/2024,2nd Unannounced,None,6/26/2024,Investigation Inspection,None,4/18/2024,"Unannounced, Annual Inspection",None,2/26/2024,Investigation Inspection,None,2/26/2024,Focus Inspection,"R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider is out of compliance with this rule by failing to provide client checks within 15 minutes. During client interviews and in review of surveillance video, the licensor was told and observed that a client was in a bathroom and not checked by staff for 21 minutes. The client self harmed while in the bathroom....",1/25/2024,Non On-Site Inspection,None,1/23/2024,Investigation Inspection,None,1/11/2024,"Announced, Annual Inspection",None,12/28/2023,2nd Unannounced,None,12/19/2023,Investigation Inspection,None,9/21/2023,Non On-Site Inspection,None,9/5/2023,Investigation Inspection,None
94203,Care Youth Corporation - Falcon Ridge Ranch dba Rite Of Passage Inc/Falcon Ridge Ranch,"750 East Sr 9, Virgin, UT, 84779",1/31/2022,1/31/2026,FALSE,6/4/2025,2nd Unannounced,None,6/4/2025,Investigation Inspection,None,3/26/2025,Investigation Inspection,None,3/25/2025,"Follow-Up Inspection, Non On-Site Inspection",None,3/9/2025,Follow-Up Inspection,"R501-1-8(3): Medication and hazardous items maintenance and storage... | Finding: The licensee was out of compliance with R501-1-8(3) by not maintaining potentially hazardous items on-site safety when not in use. During a follow-up inspection, the investigator observed that a closet used to store cleaning chemicals was left unlocked when chemicals were not in active use....",2/25/2025,"Unannounced, Annual Inspection",R501-1-8(1)(a)-(i): Facility and safety requirements... | Finding: The provider was out of compliance with R501-1-8(1) by not having working bathroom vents in two of the client bathrooms and having an unorganized client bedroom that had a missing mattress from the bedframe. During the inspection the licensor saw two client bathroom vents that were not working and an unorganized bedroom that had a missing mattress from the bedframe. This is a repeat noncompliance....,1/30/2025,Investigation Inspection,None,1/6/2025,Investigation Inspection,None,12/23/2024,Non On-Site Inspection,None,12/3/2024,"Complaint, Investigation Inspection","R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider was out of compliance by not maintaining a staff-to-client ratio of one staff to every four clients. During an investigation, provider documentation verified that on Sunday, November 10, 2024 the provider was not compliant with the required staff to student ratio for multiple hours that day.... | R380-80-5(10): Services and supervision to meet each clients needs... | Finding: The provider was out of compliance with this rule by not providing supervision commensurate with the behaviors of each client. During an inspection, multiple interviews disclosed and facility video coverage recorded a client with a history of impulsive behaviors was not adequately supervised while in possession of hazardous chemicals. This is a repeat citation.... | R380-600-7(16)(a)-(d): Critical incidents reporting requirements... | Finding: The provider was out of compliance with this rule by not reporting a critical incident to the Office of Licensing within one business day. During a complaint investigation inspection, the complaint being reviewed was identified as a critical incident that was not reported to the Office of Licensing by the provider. This is a repeat citation.... | R380-80-5(4): Provider shall protect clients from abuse, prevent abuse... | Finding: The provider was out of compliance with this rule by compromising the health and safety of clients and failing to protect clients from harm. During the investigation inspection, a staff member provided a client with chemicals to clean a water bottle and two additional staff failed to supervise clients using cleaning chemicals. A client intentionally added chemicals to another client’s water bottle with the intent to harm them. A third client drank from the water bottle and reported their stomach hurt. This is a repeat citation.... | R380-80-4(2): Report abuse or neglect... | Finding: The provider was out of compliance with this rule by not immediately reporting allegations of child abuse to Child Protective Services intake or law enforcement. During a complaint investigation inspection, the information gathered supported that an alleged child abuse incident occurred on 11/10/2024 and the provider reported the allegations to Child Protective Services on 11/15/2024.... | R501-14-5(2)(a)-(f): Submitting application for an initial background screening... | Finding: The provider was out of compliance with this rule by allowing a staff member without a conditional or eligible background clearance to work without being directly supervised. During an investigation, facility video coverage recorded a staff member who required direct supervision and was not being directly supervised....",11/12/2024,"Announced, Annual Inspection",R501-1-16(1)(a)-(u): Pre-service training requirements... | Finding: The provider was out of compliance with this rule by not having current Provider Code of Conduct or documentation of training for staff response to client leaving program without permission in staff files within 30 days of hire. During staff file review the licensor observed that the Provider Code of Conduct was not the current form and there was no documentation of training for staff response to client leaving the program without permission....,11/7/2024,"Complaint, Investigation Inspection",R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider was out of compliance with this rule by not maintaining the required staff-to-client one to four client ratio. During the inspection the information gathered from interviews and provider documentation substantiated that staff did not provide clients with required staff to client ratio mandated for client safety during an outing on 10/26/2024. This is a repeat citation....,9/18/2024,2nd Unannounced,R501-1-13(5)(a)-(b): Private placement reporting... | Finding: The provider was out of compliance with this rule by not reporting private placements to the Office by the fifth business day of the month for August and September 2024. During the inspection the licensor verified through QuickSight reporting that the provider had not reported private placements to the office by the fifth business day of the month for August and September 2024. This is a repeat non compliance....,7/31/2024,Investigation Inspection,None,7/30/2024,Investigation Inspection,None,7/23/2024,Follow-Up Inspection,None,6/28/2024,Focus Inspection,R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider was out of compliance with this rule by not maintaining required staff ratios. During the inspection the provider was observed to be out of staff to client ratio on 1 group staffed at 1 staff  to 8 clients. This is a repeat noncompliance....,6/6/2024,Non On-Site Inspection,None,5/30/2024,"Unannounced, Annual Inspection",None,4/11/2024,Investigation Inspection,None
94202,Care Youth Corporation dba Rite Of Passage Inc/Lava Heights Academy,"730 Spring Dr, Toquerville, UT, 84774",1/31/2022,1/31/2026,FALSE,6/16/2025,Follow-Up Inspection,None,6/4/2025,2nd Unannounced,None,6/4/2025,Investigation Inspection,"R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The licensee was out of compliance with R501-19-3(3)(d)(i)(ii)&(f) by a staff member not remaining awake while on duty, not supervising appropriately to ensure client health and safety, and not performing direct supervision with line-of-sight check-ins every 15-minutes. During an investigation, the information gathered substantiated that a staff member fell asleep, failed to supervise clients as required, and did not complete one 15-minute line-of-sight check-in. This is a repeat noncompliance previously noted on 10/12/2022....",4/17/2025,Investigation Inspection,"R501-1-8(3): Medication and hazardous items maintenance and storage... | Finding: The licensee as out of compliance with R501-1-8(3) by not storing potentially hazardous material responsibly. During the investigation hand sanitizer was left accessible to clients, with one client drinking the hand sanitizer....",2/25/2025,"Unannounced, Annual Inspection",None,2/5/2025,Investigation Inspection,None,12/23/2024,Non On-Site Inspection,None,11/25/2024,Investigation Inspection,None,11/12/2024,"Announced, Annual Inspection",None,9/18/2024,2nd Unannounced,R501-1-13(5)(a)-(b): Private placement reporting... | Finding: The provider was out of compliance with this rule by not reporting private placements to the Office by the fifth business day of the month for August and September 2024. During the inspection the licensor verified through QuickSight reporting that the provider had not reported private placements to the office by the fifth business day of the month for August and September 2024. This is a repeat non compliance....,6/6/2024,Non On-Site Inspection,None,5/30/2024,"Unannounced, Annual Inspection",None,2/6/2024,Non On-Site Inspection,None,2/1/2024,Focus Inspection,R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider was out of compliance with this rule by not maintaining staff ratios. During the inspection it was observed that the provider was out of ratios by having 2 staff supervising a group of 12 clients....,1/18/2024,"Announced, Annual Inspection",None,12/21/2023,Follow-Up Inspection,None,12/8/2023,Follow-Up Inspection,None,11/16/2023,Investigation Inspection,None,9/26/2023,2nd Unannounced,None,6/20/2023,Investigation Inspection,None
