name	operator	operator_detail	past_names	location	years	status	current_name	website
Innercept	Altior Healthcare	Los Angeles, CA | 2021-Present		Hayden, ID	2004–Present	Open		
Paradigm Treatment Centers	Altior Healthcare	Los Angeles, CA | 2021-Present		Malibu, CA; San Rafael, CA; Austin, TX	2011–Present	Open		
The Ridge Maine	Altior Healthcare	Los Angeles, CA | 2021-Present	Ironwood Maine (2006-2024)	Morrill, ME	2024–Present	Open		
The Ridge New Hampshire	Altior Healthcare	Los Angeles, CA | 2021-Present	Shortridge Academy (2002-2023)	Milton, NH	2023–Present	Open		
Discovery Academy	Ascent Companies	Enterprise, UT | 1993-Present		Provo, UT	1989–2022	Closed		
Discovery Ranch South	Ascent Companies	Enterprise, UT | 1993-Present		Cedar City, UT	2013–Present	Open		
Discovery Ranch	Ascent Companies	Enterprise, UT | 1993-Present		Mapleton, UT	2005–Present	Open		
Oxbow Academy	Ascent Companies	Enterprise, UT | 1993-Present		Mt. Pleasant, UT	2006–Present	Open		
OASIS Ascent	Ascent Companies	Enterprise, UT | 1993-Present		Millcreek, UT				
RedCliff Ascent	Ascent Companies	Enterprise, UT | 1993-Present		Enterprise, UT	1993–Present	Open		
ThreePeaks Ascent	Ascent Companies	Enterprise, UT | 1993-Present		Enterprise, UT	2023–Present	Open		
Birdseye RTC	"CERTS Group
"	Murray, UT | 2001-Present	Birdseye Boys Ranch	Payson, UT				
Kaizen Academy	"CERTS Group
"	Murray, UT | 2001-Present		Payson, UT		Open		
La Europa Academy	"CERTS Group
"	Murray, UT | 2001-Present		Murray, UT	2005–Present	Open		
Kolob Canyon RTC	"CERTS Group
"	Murray, UT | 2001-Present		New Harmony, UT	2002–Present	Open		
Moonridge Academy	"CERTS Group
"	Murray, UT | 2001-Present		Cedar City, UT	2003–Present	Open		
Mountain Springs Preparatory Academy	"CERTS Group
"	Murray, UT | 2001-Present	Academy at Cedar Mountain (1999-2004)		2004–Present	Open		
Acadia Montana	Acadia HealthCare	Franklin, TN | 2005-Present		55 Basin Creek Rd, Butte, MT 59701	2006–2019	Closed		
Aspen Education Group	Acadia HealthCare	Franklin, TN | 2005-Present			1997–Present	Open		
Village Behavioral Health Treatment Center	Acadia HealthCare	Franklin, TN | 2005-Present	Acadia Village; Peninsula Village	Louisville, TN		Open		
Cedar Crest Hospital & RTC	Acadia HealthCare	Franklin, TN | 2005-Present		Belton, TX		Open		
Lakeland Behavioral Health System Residential Treatment Program	Acadia HealthCare	Franklin, TN | 2005-Present		Springfield, MO		Open		
Little Creek Behavioral Health Residential Treatment Facility	Acadia HealthCare	Franklin, TN | 2005-Present		Conway, AR		Open		
Millcreek Behavioral Health Psychiatric Residential Treatment Facility	Acadia HealthCare	Franklin, TN | 2005-Present		Fordyce, AR		Open		
Piney Ridge Center	Acadia HealthCare	Franklin, TN | 2005-Present		Fayetteville, AR		Open		
Ridgeview Group Home	Acadia HealthCare	Franklin, TN | 2005-Present		Fayetteville, AR		Open		
Southwood Psychiatric Hospital Residential Treatment Program	Acadia HealthCare	Franklin, TN | 2005-Present		Pittsburgh, PA		Open		
Talisman Camps	Acadia HealthCare	Franklin, TN | 2005-Present		Zirconia, NC	1980–Present	Open		
Turn-About Ranch	Acadia HealthCare	Franklin, TN | 2005-Present		Escalante, UT	1989–Present	Open		
Vantage Point Behavioral Health Hospital RTP	Acadia HealthCare	Franklin, TN | 2005-Present		Fayetteville, AR		Open		
Youth Care of Utah	Acadia HealthCare	Franklin, TN | 2005-Present		Draper, UT	1989–Present	Open		
Fort Myers Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Fort Myers, FL		FALSE		
Highlands Youth Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Avon Park, FL		FALSE		
Hillsborough Girls Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Tampa, FL		FALSE		
Jacksonville Youth Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Jacksonville, FL		FALSE		
Lake Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Tampa, FL		FALSE		
Les Peters Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Tampa, FL		FALSE		
Miami Youth Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Miami, FL		FALSE		
Orange Youth Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Orlando, FL		FALSE		
Orlando Intensive Youth Academy	TrueCore Behavioral Solutions	Tampa, FL | 2001-Present		Orlando, FL		FALSE		
