Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
09/09/2025,745.8411(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/12/2025,09/16/2025,Individual Standards Evaluated,High,Yes,Fiscal documentation related to the operations heightened monitoring plan was requested on 8/29/2025 and 9/3/2025 and not provided as of 9/9/2025.,
08/18/2025,748.1351 - Individual Standards Evaluated,Individual Standards Evaluated,No,09/03/2025,08/29/2025,Individual Standards Evaluated,Medium Low,Yes,A service plan did not have team member signatures and did not have a date of implementation. ,"Corrective Actions to immediately address the deficiencies:
Service Plan Correction (Completed August 29, 2025):
The plan for Daviyone was corrected to include accurate completion/implementation dates, verified child identifiers, and signature lines for all service team members.

Audit of All Current Service Plans (By September 2, 2025):
Case Management and QA staff are auditing all active youth service plans for missing dates, signatures, or errors.
Any discrepancies are being corrected, and corrected plans re-uploaded into Extended Reach.

Staff Retraining (By September 2, 2025):
Case managers and program staff involved in service planning are being retrained on §748.1351 requirements.
A Service Plan Checklist (newly implemented) must be used prior to finalizing each plan. This checklist requires verification of:
Completion date and implementation date.
All required signatures and dates.
Correct youth identifiers throughout the plan.
"
07/29/2025,748.2953(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/07/2025,08/19/2025,Individual Standards Evaluated,Medium,Yes,Quarter 2 Emergency Behavior Intervention numbers were not submitted to licensing timely. ,"1.Tracking Enhancement:
Extended Reach calendar reminders have been updated to automatically flag upcoming EBI quarterly due dates 30 days and 7 days in advance.

A compliance tracking spreadsheet will also be maintained by the Executive Director as a secondary safeguard.

2.Staff Training:
All clinical and case management staff have been retrained on the requirement that all EBI reviews must be completed at least once every 90 days per youth.

Training emphasizes documentation requirements, clinical review content, and signature protocols.

Quarter 2 EBI numbers have been uploaded to CLASS. "
07/11/2025,748.1101(b)(4)(A)(v) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/28/2025,09/16/2025,Individual Standards Evaluated,Medium High,Yes,Staff used inappropriate language to refer to a foster child's behavior. ,"Corrective Actions 
To immediately address this deficiency:

Staff Involved (Completed August 20, 2025):
The staff member was counseled and issued a corrective action notice.
Incident was documented in personnel records.

Training (To be completed by August 26, 2025):
All direct care staff are required to complete a refresher training on Respectful Communication and Trauma-Informed Care, including emphasis on §748.1101(b)(4)(A)(v).

Follow up inspection conducted on 9/16/25. See inspection id #4075961.
"
06/30/2025,748.399(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/29/2025,08/29/2025,Individual Standards Evaluated,Medium,Yes,Documentation pertaining to the investigations were requested on multiple occasions and never received in a timely manner. ,"Training (Scheduled for August 30, 2025):

Case managers, direct care supervisors, and administrative staff will complete a refresher training on Documentation Standards and Compliance with §748.399(a).
"
06/11/2025,748.2853(2) - Emergency Behavior Intervention,Emergency Behavior Intervention,No,06/17/2025,07/08/2025,N:Emergency Behavior Intervention,Medium Low,Yes,An Emergency Behavior Intervention report was reviewed and there was no documentation that a discussion with the foster child was attempted. ,The operation has not had a second EBI since the first EBI report. The operation has added a segment to their online form for employees to include whether a post-EBI discussion has occurred. 
05/02/2025,748.3445(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/07/2025,05/29/2025,Individual Standards Evaluated,Medium High,No,"During Walkthrough Inspection, expired food were found in th e freezer and fridge","During walkthrough, no expired foods or items were observed. Multiple freeze-by dates were noted to be compliant. "
05/02/2025,748.3301(a)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/18/2025,05/29/2025,Individual Standards Evaluated,High,No,"During walkthrough, the operation had several holes in the wall due to an altercation that occured recently","A walkthrough of the home was completed, and all holes were noted to be completely covered. "
05/02/2025,748.1703(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/11/2025,05/29/2025,Individual Standards Evaluated,Low,No,"During walkthrough, there were no menus posted for the operation.","During walkthrough, I asked staff to show me the May calendar for food. The calendar was observed to be compliant with standards. "
04/28/2025,748.863(a)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/05/2025,06/03/2025,Individual Standards Evaluated,Medium High,Yes,A direct care staff did not have pre-service emergency behavior intervention training. ,The direct care staff observed during the inspection was compliant with EBI training requirements. Operation understands that caregivers are not in ratio without 4 hours.
01/15/2025,748.303(a)(7)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/22/2025,,Individual Standards Evaluated,Medium,No,Compliance plan to mitigate risk has not been submitted for this citation. Operation did not notify CVS worker of a citation provided to a child in care.,
01/15/2025,748.1337(b)(2)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/22/2025,,Individual Standards Evaluated,Medium Low,No,Compliance plan to mitigate risk has not been submitted for this citation. A child in care's service plan does not have a description for how the operation will address treatment. ,
11/14/2024,748.303(a)(7)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/20/2024,,Individual Standards Evaluated,Medium,No,Operation did not notify CVS worker of a citation provided to a child in care.,
11/14/2024,748.1337(b)(2)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/20/2024,,Individual Standards Evaluated,Medium Low,Yes,A child in care's service plan does not have a description for how the operation will address treatment. ,
11/06/2024,748.3421(3) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,12/13/2024,,Individual Standards Evaluated,Medium High,No,,
11/04/2024,748.3105(b) - Safety and Emergency Practices,Safety and Emergency Practices,No,12/04/2024,03/06/2025,O:Safety and Emergency Practices,Medium High,Yes,An inspection of the operation was completed. The operation did not provide documentation on how the home complies with this standard. ,The operation provided documentation of completed Fire Inspections. Both homes were inspected on 1/24/2025 and both homes passed. The Fire Inspection documentation will be uploaded to the document library. 
