id,name,city,state,country,status,facility_page
9605,"Canyon State Academy","Queen Creek",AZ,"United States",Open,https://kidsoverprofits.org/facility/canyon-state-academy-az/
9606,"Daytona Juvenile Residential Facility","Daytona Beach",FL,"United States",Transferred,https://kidsoverprofits.org/facility/daytona-juvenile-residential-facility-fl/
9607,"Falcon Ridge Ranch",Virgin,UT,"United States",Open,https://kidsoverprofits.org/facility/falcon-ridge-ranch-ut/
9608,"Gulf Coast Trades Center","233 New Waverly",TX,"United States",Open,https://kidsoverprofits.org/facility/gulf-coast-trades-center-tx/
9609,"JoAnn Bridges Academy",Greenville,FL,"United States",Open,https://kidsoverprofits.org/facility/joann-bridges-academy-fl/
9610,"Lake Granbury Youth Services",Granbury,TX,"United States",Open,https://kidsoverprofits.org/facility/lake-granbury-youth-services-tx/
9611,"Lava Heights Academy",Toquerville,UT,"United States",Open,https://kidsoverprofits.org/facility/lava-heights-academy-ut/
9612,"Monarch Academy for Girls",Denison,TX,"United States",Open,https://kidsoverprofits.org/facility/monarch-academy-for-girls-tx/
9613,"Mt. Lassen Treatment Center","San Andreas",CA,"United States",Open,https://kidsoverprofits.org/facility/mt-lassen-treatment-center-ca/
9614,"Norris Academy",", Andersonville",TN,"United States",Open,https://kidsoverprofits.org/facility/norris-academy-tn/
9615,"Oak Grove Academy",Jasper,FL,"United States",Open,https://kidsoverprofits.org/facility/oak-grove-academy-fl/
9616,"Palm Beach Youth Academy","West Palm Beach",FL,"United States",Open,https://kidsoverprofits.org/facility/palm-beach-youth-academy-fl/
9617,"Pearl Haven",O’ahu,HI,"United States",Open,https://kidsoverprofits.org/facility/pearl-haven-hi/
9618,"Sierra Ridge Treatment Center",,,,Open,https://kidsoverprofits.org/facility/sierra-ridge-treatment-center/
9619,"Sierra Sage Treatment Center",Minden,NV,"United States",Open,https://kidsoverprofits.org/facility/sierra-sage-treatment-center-nv/
9620,"Silver State Academy",Yerington,NV,"United States",Closed,https://kidsoverprofits.org/facility/silver-state-academy-nv/
9621,"The Oaks",Brownwood,TX,"United States",Unknown,https://kidsoverprofits.org/facility/the-oaks-tx/
9623,"Walton Academy for Growth and Change","DeFuniak Springs",FL,"United States",Open,https://kidsoverprofits.org/facility/walton-academy-for-growth-and-change-fl/
9624,"Yosemite Treatment Center","San Andreas",CA,"United States",Open,https://kidsoverprofits.org/facility/yosemite-treatment-center-ca/
9625,"Straight – Atlanta",Marietta,GA,"United States",Closed,https://kidsoverprofits.org/facility/straight-atlanta-ga/
9627,"Straight – Dallas",Richardson,TX,"United States",Closed,https://kidsoverprofits.org/facility/straight-dallas-tx/
9628,"Straight – Orlando",Orlando,FL,"United States",Closed,https://kidsoverprofits.org/facility/straight-orlando-fl/
9630,"Straight – Sarasota",Sarasota,FL,"United States",Closed,https://kidsoverprofits.org/facility/straight-sarasota-fl/
9631,"Straight – Greater Washington",Springfield,VA,"United States",Closed,https://kidsoverprofits.org/facility/straight-greater-washington-va/
9632,"Straight – Tampa Bay","St. Petersburg",FL,"United States",Closed,https://kidsoverprofits.org/facility/straight-tampa-bay-fl/
9633,"Straight – New England",Stoughton,MA,"United States",Closed,https://kidsoverprofits.org/facility/straight-new-england-ma/
9634,"Straight – Columbia",Columbia,MD,"United States",Closed,https://kidsoverprofits.org/facility/straight-columbia-md/
9635,"Straight – Hampton Roads",Chesapeake,VA,"United States",Closed,https://kidsoverprofits.org/facility/straight-hampton-roads-va/
