Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
07/08/2025,748.361(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/15/2025,07/15/2025,Individual Standards Evaluated,Medium Low,No,One requested personnel file was reported to be located at the LCCA personal residence.,"The operation sent the following corrective action plan via email:

The HR Manager will be notified monthly of all active records and verify they are on site."
06/04/2025,748.3421(3) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,06/04/2025,,Individual Standards Evaluated,Medium High,No,"While conducting a walkthrough of the operation, multiple doors that have chemicals stored in were unlocked. ",
06/04/2025,748.3301(a)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/09/2025,06/18/2025,Individual Standards Evaluated,High,Yes,"The operation had holes in the wall which exposed wired, there was mold growing in the ceiling and the attic lock was broken leaving it accessible to children s area in the second floor.  ",A walk through of the facility was condcuted. Areas identified as needing repair or attention were observed. No holes in the wall  or mold was observed and attic now has a lock.
06/04/2025,748.2103(a) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,06/04/2025,,Individual Standards Evaluated,Medium High,Yes,There were three expired medications stored with other medications currently being used.,
05/23/2025,748.1209(d) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/23/2025,05/23/2025,Individual Standards Evaluated,Low,No,It was found in childs files reviewed that there was no documentation of an orientation occuring or reason for omission.,As a correction the operation updated the children's records with an Acknowledgement of Handbook and Orientation form that all children have to sign.
05/02/2025,748.125(d)(4)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/10/2025,06/10/2025,Individual Standards Evaluated,Medium,No,A suicide screening was not administered at admission for a child who has a history of suicidal ideations. ,Received a corrective action plan from the Treatment Director stating the following: All residents will be administered the self-harm/suicide questionnaire upon intake.  The questionnaire will be reviewed by the Tx Director to assess the level of acuity. (An attachment was provided)
04/24/2025,748.3301(a)(2) - Physical Site,Physical Site,No,05/09/2025,05/23/2025,P:Physical Site,Medium,No,"It was found during an inspection that walls were in malrepair ,needed paint,blinds were broken in the living room downstairs, and there was exposed wires from an smoke dectector in a childs bedroom. ",The operation is come into compliance with this minimum standard.
04/24/2025,748.3365(c)(1) - Physical Site,Physical Site,Yes,04/24/2025,,P:Physical Site,Medium,No,It was found at the inspection that a child did not have a fitted sheet on their bed. ,
04/24/2025,"748.1209(d) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,05/09/2025,05/23/2025,"I:Admission, Service Planning, Discharge",Low,No,It was found in childs files reviewed that there was no documentation of an orientation occuring or reason for omission.,
04/24/2025,748.3301(a)(1) - Physical Site,Physical Site,No,05/02/2025,05/23/2025,P:Physical Site,High,Yes,It was found during an inspection that the second story banister was unstable and spindles were missing.,The operation has come into compliance with this minimum standard.
04/24/2025,748.3301(f) - Physical Site,Physical Site,No,05/09/2025,05/23/2025,P:Physical Site,Medium High,No,It was found during a walkthrough of the grounds of the operation several fence posts were missing or in malrepair  in the backyard. ,The operation has come into compliane with minimum standards
02/21/2025,748.685(d)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/07/2025,04/14/2025,Individual Standards Evaluated,Medium High,Yes,It is alleged that the caregiver did not arrange suitable transportation home from the workplace for a child in care.,"An email from the operation's administrator stated that the operation has developed a transportation plan for the child to ensure coordination of transportation before work shifts and as schedule changes occur. The operation has also scheduled staff for additional transportation training to be completed by the end of April 30, 2025.

"
11/26/2024,748.3421(3) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,11/26/2024,,Individual Standards Evaluated,Medium High,Yes,The operation had rubbing alcohol and a cleaning agent in the kitchen accessible to children. ,
