person,from,to,role,year,source
Eilean MacKenzie,New Horizons for Young Women,Fulshear Treatment to Transition,Clinical Director,,post 2449
Caroline Wolf,New Horizons for Young Women,Advantage Adolescent and Intervention Services Inc.,Co-founder,,post 2449
Caroline Wolf,New Horizons for Young Women,West Shield Adolescent Services,Co-founder,,post 2449
Audrey Peavey,New Horizons for Young Women,Greenbrier Academy,Admissions Director,,post 2449
Audrey Peavey,New Horizons for Young Women,Potomac Programs,Admissions Director,,post 2449
Adam Tsapis,VisionQuest,Summit Achievement,"cofounder and former admissions director, previously at OceanQuest",,post 2478
Chris Mays,VisionQuest,Summit Achievement,"cofounder and former executive director, previously at OceanQuest",,post 2478
Shannon H. Palentchar,SUWS of the Carolinas,Summit Achievement,admissions director,,post 2478
Shannon H. Palentchar,Stone Mountain School,Summit Achievement,admissions director,,post 2478
Shannon H. Palentchar,Fulshear Treatment to Transition,Summit Achievement,admissions director,,post 2478
Clint Dorny,Provo Canyon School,Discovery Ranch,executive director,,post 10800
Dave Blackwell,Provo Canyon School,Discovery Ranch,therapist,,post 10800
Brent Hall,Provo Canyon School,Discovery Ranch,,,post 10800
Leslie Glies,Discovery Ranch,RedCliff Ascent,residential director,,post 10800
Andrea Burgess,RedCliff Ascent,Discovery Ranch for Girls,,,post 10800
Jack Hinman,Discovery Ranch for Girls,Moonridge Academy,"clinical director, girls campus",,post 10800
Jack Hinman,Discovery Ranch for Girls,Kolob Canyon RTC,"clinical director, girls campus",,post 10800
Tim Lowe,Outback Therapeutic Expeditions,Discovery Ranch,,,post 10800
Robert B. Lichfield,Provo Canyon School,Cross Creek Programs,dorm parent from 1977,,seed provo-canyon-school.json
Robert B. Lichfield,Provo Canyon School,WWASPS,dorm parent from 1977,,seed provo-canyon-school.json
Robert Crist,Provo Canyon School,Logan River Academy,,2000,seed provo-canyon-school.json
Larry Carter,Provo Canyon School,Logan River Academy,,2000,seed provo-canyon-school.json
Robert Crist,Provo Canyon School,Silverado Academy,,2006,seed provo-canyon-school.json
Kreg Gillman,Provo Canyon School,Silverado Academy,,2006,seed provo-canyon-school.json
Ron Tuinei,Provo Canyon School,Copper Hills Youth Center,,,seed provo-canyon-school.json
Barry Woodward,Provo Canyon School,Copper Hills Youth Center,,,seed provo-canyon-school.json
Adam McClain,Peninsula Village,Provo Canyon School,,,seed provo-canyon-school.json
Adam McClain,Northwest Academy,Provo Canyon School,,,seed provo-canyon-school.json
