from,from_network,to,to_network,relationship,type,crosses_network
ANASAZI Foundation,Asst. (south),Xela Goodman,Embark,therapist,people,True
Abundant Life Academy,FHW,Craig Rogers,Eckerd,cofounder/CEO,people,True
Academy at Canyon Creek,UHS,Provo Canyon School Springville Campus,Rite of Passage,rebrand,corporate,True
Academy at Canyon Creek,UHS,Jordan Larsen,Rite of Passage,clinical director,people,True
Academy at Swift River,Wilderness,Christopher Carlin,Altior,program director,people,True
Academy at Swift River,Wilderness,Brian Ray,Eckerd,assistant dean of admissions,other,True
Academy at Swift River,Wilderness,Rudy Bentz,FHW,dean of student life,other,True
Academy at Swift River,Wilderness,Jill Bentz,FHW,training director,people,True
Academy at Swift River,Wilderness,Adele Logan,Asst. (south),admin,people,True
Academy at Swift River,Wilderness,Audrey Everson,Asst. (south),clinical counselor,people,True
Academy at Swift River,Wilderness,Tim Brace,Aspen,founder/executive director / of residential schools,people,True
Academy of New Horizons,UHS,Mary Pauer,Asst. (north),director,people,True
Acadia Healthcare,Embark,Peninsula Village,Aspen,acquired,corporate,True
Acadia Healthcare,Embark,Tampa Behavioral Health,Aspen,,unlabelled,True
Acadia Healthcare,Embark,Joe Procopia,Aspen,divisional president,people,True
Adam Mclain,CERTS,Provo Canyon School,UHS,CEO,people,True
Adam Mclain,CERTS,Northwest Academy,Brown Schools/CEDU,executive director,people,True
Adam Rainer,FHW,Shortridge Academy,Altior,founder/CEO,people,True
Adele Logan,Asst. (south),Shortridge Academy,Altior,marketing director,people,True
Adirondack Leadership Expeditions,Aspen,Jessa Hobson,Eckerd,field instructor,people,True
Adirondack Leadership Expeditions,Aspen,Xela Goodman,Embark,therapist,people,True
Alabama Clinical Schools,UHS,Ballard Sheppard,WWASPS,,unlabelled,True
Alex Bitz,Asst. (south),Mount Bachelor Academy,Aspen,cofounder,people,True
Alex Bitz,Asst. (south),CEDU High School,Brown Schools/CEDU,?,other,True
Alternative Youth Adventures,Wilderness,Jason McKeown,Asst. (south),therapist,people,True
Alternative Youth Adventures,Wilderness,Kendra Meiklejohn,Aspen,therapist,people,True
Altior Healthcare,Altior,Innercept,YSI,,unlabelled,True
Andrew Coe,Altior,Academy at Swift River,Wilderness,assistant director,people,True
Arkansas Juvenile Assessment and Treatment Center,YOI,"Rite of Passage, Inc",Rite of Passage,,unlabelled,True
Ascent Wilderness Therapy,UHS,Dan Tadlock,YSI,therapist,people,True
Ascent Wilderness Therapy,UHS,Trilby Hoover,Asst. (north),executive director,people,True
Ashcreek Ranch Academy,YSI,Tammy Prince Behrman,Wilderness,cofounder,people,True
Ashcreek Ranch Academy,YSI,Darren Prince,Wilderness,cofounder,people,True
Asheville Academy for Girls,FHW,Cat Jennings,Aspen,founding executive director,people,True
Aspen Achievement Academy,Aspen,Patrick Logan,Asst. (north),senior instructor,people,True
Aspen Achievement Academy,Aspen,Devin Glissmeyer,Altior,therapist,people,True
Aspen Achievement Academy,Aspen,Jen Murphy,FHW,?,other,True
Aspen Achievement Academy,Aspen,Cheryl Kehl,Asst. (south),clinical director,people,True
Aspen Achievement Academy,Aspen,Jeff Scott,Asst. (south),intern,people,True
Aspen Achievement Academy,Aspen,Leah Madamba,Embark,therapist,people,True
Aspen Education Group,Aspen,Copper Canyon Academy,Altior,,unlabelled,True
Aspen Education Group,Aspen,Academy at Swift River,Wilderness,,unlabelled,True
Aspen Education Group,Aspen,Aspen Youth Alternatives,Wilderness,,unlabelled,True
Aspen Education Group,Aspen,SunHawk Academy,Wilderness,,unlabelled,True
Aspen Education Group,Aspen,Passages to Recovery,Wilderness,,unlabelled,True
Aspen Education Group,Aspen,Aspen Ranch,Asst. (south),,unlabelled,True
Aspen Education Group,Aspen,Talisman Camps,Asst. (south),,unlabelled,True
Aspen Education Group,Aspen,Aspen Institute for Behavioral Assessment,Wilderness,,unlabelled,True
Aspen Education Group,Aspen,Turn-About Ranch,Wilderness,,unlabelled,True
Aspen Institute for Behavioral Assessment,Wilderness,Mike Bulloch,Altior,cofounder/clinical director,people,True
Aspen Institute for Behavioral Assessment,Wilderness,Dale Erdmann,FHW,primary therapist,people,True
Aspen Ranch,Asst. (south),Kreg Gillman,Altior,executive director,people,True
Aspen Ranch,Asst. (south),Outback Therapeutic Expeditions,Aspen,,unlabelled,True
Aspen Youth Alternatives,Wilderness,Cliff Stockton,Asst. (south),wilderness director,people,True
Aspiro Group,Aspiro,Aspiro Wilderness Adventure Therapy,Asst. (north),,unlabelled,True
Belle Shook,Eckerd,Copper Canyon Academy,Altior,therapist,people,True
Belle Shook,Eckerd,Mingus Mountain Academy,Vivant,,unlabelled,True
Ben Pearson,Aspiro,ANASAZI Foundation,Asst. (south),field guide,people,True
Bernalillo Academy,UHS,Amir Rafiei,Embark,executive director,people,True
Bernie Farrow,Unframed,Academy at Cedar Mountain,CERTS,counselor,people,True
Bernie Farrow,Unframed,Sunrise RTC,Embark,clinical director,people,True
Bernie Zimmerman,Aspiro,Cherry Gulch,HOPE Group,co-owner/executive director,corporate,True
Bernie Zimmerman,Aspiro,"Greenwood Associates, Inc",Asst. (north),education consultant,people,True
Beth Ragland,CERTS,Spring Ridge Academy,HOPE Group,therapist,people,True
Beth Ragland,CERTS,Three Springs Inc.,Rite of Passage,customer relations representative,other,True
Beth Ragland,CERTS,Auldern Academy,UHS,admissions director,people,True
Beth Ragland,CERTS,Greenbrier Academy,Evolve,admissions director,people,True
Betsy Warren,Altior,NATSAP,FHW,board of directors,people,True
Bill Henry,WWASPS,North Star Expeditions,Eckerd,cofounder,people,True
Blue Ridge Therapeutic Wilderness,Aspiro,Jeff Scott,Asst. (south),therapist,people,True
Boulder Creek Academy,Brown Schools/CEDU,Greg Andrick,Wilderness,?,other,True
Boulder Creek Academy,Brown Schools/CEDU,Sarah Persha Koalkin,FHW,academic director,people,True
Boulder Creek Academy,Brown Schools/CEDU,Theresa Wardle,FHW,admissions director,people,True
Boulder Creek Academy,Brown Schools/CEDU,John Sarchio,Asst. (north),cofounder,people,True
Boulder Creek Academy,Brown Schools/CEDU,Julia Andrick,Asst. (north),admissions director,people,True
Brad M. Reedy,Asst. (south),Second Nature Wilderness Family Therapy,Aspiro,cofounder,people,True
Brandon Park,Eckerd,New Focus Academy,FHW,founder/executive director,people,True
