name,dates,status,network,chain,natsap_member,importance,connections,board_x,board_y
Academy at Sisters,,open,Altior,,True,28749,3,8785,973
Altior Healthcare,,open,Altior,Altior,False,54601,4,9865,226
Andrew Coe,,unmarked,Altior,,False,11215,2,10519,-1156
Ashby Academy,,closed or rebranded,Altior,,False,25020,1,7476,526
Betsy Warren,,unmarked,Altior,,False,12513,4,9154,810
Boyd Hooper,,unmarked,Altior,,False,12302,4,11930,1058
Bryan Lepinske,,unmarked,Altior,,False,13145,1,11153,1075
Christopher Carlin,,unmarked,Altior,,False,15692,3,8042,363
Coady Schueler,,unmarked,Altior,,False,13356,2,6982,257
Copper Canyon Academy,,closed or rebranded,Altior,Aspen,True,31684,10,8145,632
Devin Glissmeyer,,unmarked,Altior,,False,15737,2,7069,-87
Focal Point Academy,,closed or rebranded,Altior,,False,25020,1,11701,520
Fulshear Ranch Academy,,closed or rebranded,Altior,Embark,True,28749,5,11677,1231
Fulshear Treatment to Transition,,open,Altior,Embark,True,28749,1,12141,1231
Ironwood Maine,,closed or rebranded,Altior,Altior,True,28749,7,9543,-406
J Bar J Youth Services,,open,Altior,,False,25020,1,8785,1412
James Meyer,,unmarked,Altior,,False,13356,3,8550,1680
Josh White,,unmarked,Altior,,False,13624,5,8292,1196
Kreg Gillman,,unmarked,Altior,,False,16035,7,8008,-500
Maureen White,,unmarked,Altior,,False,12363,4,7945,1196
Meyer Education and Family Services,,open,Altior,,False,40183,1,8986,1651
Mike Bulloch,,unmarked,Altior,,False,11158,3,11071,-1088
Monuments RTC,,closed or rebranded,Altior,,False,28749,1,9971,-1063
Open Sky Wilderness Program,,closed or rebranded,Altior,,False,29257,3,7323,1107
Paradigm Treatment Centers,,open,Altior,Altior,False,28749,1,10250,446
Ponca Pines Academy,,closed or rebranded,Altior,,True,25020,1,9755,810
Sedona Sky Academy,,open,Altior,,True,28749,3,8682,533
Shortridge Academy,,closed or rebranded,Altior,Altior,False,25020,15,6779,-784
Sundance Canyon Academy,,open,Altior,,False,25020,1,12290,520
The Ridge Maine,,open,Altior,,True,28749,1,9543,-864
Three Rivers Montana,,closed or rebranded,Altior,,False,25020,1,9229,1238
Valley View School,,open,Altior,,True,25020,1,8536,363
Wayne Stinson,,unmarked,Altior,,False,12513,2,9053,-152
Willow Creek School,,closed or rebranded,Altior,,True,28749,1,11153,393
Acadia Village,,closed or rebranded,Aspen,Aspen,False,42497,2,8450,6965
Adirondack Leadership Expeditions,,closed or rebranded,Aspen,Aspen,True,40450,4,8362,3019
Aspen Achievement Academy,,closed or rebranded,Aspen,Aspen,True,33620,7,8411,4361
Aspen Education Group,,open,Aspen,Aspen,True,57679,23,9362,7096
Aspen Youth Services,,closed or rebranded,Aspen,Aspen,True,28749,3,6556,5291
BRAVO,,closed or rebranded,Aspen,Aspen,True,18595,1,8348,5056
Bromley Brook School,,closed or rebranded,Aspen,Aspen,True,28749,3,6063,3690
Bryan Tomes,,unmarked,Aspen,,False,12513,6,6625,2789
Camp Elliott,,closed or rebranded,Aspen,,False,28749,2,8105,6534
Cat Jennings,,unmarked,Aspen,,False,28749,5,6950,5073
Catalyst RTC,,open,Aspen,,True,25020,1,8862,3997
Cedar Crest Hospital & RTC,,open,Aspen,Aspen,False,52949,2,7476,6278
Covenant Health,,open,Aspen,Aspen,False,35250,1,8216,7738
Craig LaMont,,unmarked,Aspen,,False,14308,4,9181,3725
Diane LaMont,,unmarked,Aspen,,False,14308,2,9181,4167
Eagle Cove Academy,,closed or rebranded,Aspen,,False,28749,1,9186,3492
Excel Academy,,closed or rebranded,Aspen,Aspen,True,28749,3,7364,4270
Glen Willow Academy,,closed or rebranded,Aspen,,False,25020,1,9181,3258
Gray Wolf Ranch,,closed or rebranded,Aspen,,False,28749,1,8520,6594
Jameson Norton,,unmarked,Aspen,,False,14308,2,8705,5759
Jamison Monroe Jr,,unmarked,Aspen,,False,14308,2,8520,6286
Jeremy Poore,,unmarked,Aspen,,False,14308,3,7036,6747
Jim Dredge,,unmarked,Aspen,,False,10583,2,7075,4826
Joe Procopia,,unmarked,Aspen,,False,14308,3,9075,6080
John L Singleton,,unmarked,Aspen,,False,36619,5,7669,6965
Joint Commission,,open,Aspen,,False,95122,1,6381,7471
Justin Hoover,,unmarked,Aspen,,False,13516,2,6749,5735
Kathy McGregor,,unmarked,Aspen,,False,14308,2,9537,5601
Kendra Meiklejohn,,unmarked,Aspen,,False,14557,4,8545,3177
LUNA,,closed or rebranded,Aspen,Aspen,True,18595,1,8348,4770
Leigh Uhlenkott,,unmarked,Aspen,,False,14308,5,7258,6534
Maple Hall Academy,,closed or rebranded,Aspen,,False,36619,2,7390,7266
Matthew Hendry,,unmarked,Aspen,,False,11923,2,9409,5166
Melvin Cates,,unmarked,Aspen,,False,13572,3,6626,4396
Michelle McCoy,,unmarked,Aspen,,False,12238,2,7025,3126
Mike Ervin,,unmarked,Aspen,,False,13406,3,7622,4744
Mount Bachelor Academy,,closed or rebranded,Aspen,Aspen,True,28749,13,5911,4604
New Leaf Academy of North Carolina,,closed or rebranded,Aspen,Aspen,True,30762,5,7605,3801
New Leaf Academy of Oregon,,closed or rebranded,Aspen,Aspen,True,28749,2,5281,5894
Newport Academy,,unmarked,Aspen,,False,28749,3,8705,6100
NorthStar Center,,closed or rebranded,Aspen,Aspen,True,28749,5,5510,4978
Outback Therapeutic Expeditions,,closed or rebranded,Aspen,Aspen,True,35972,18,5179,3122
Peninsula Village,,closed or rebranded,Aspen,Aspen,True,42497,4,8216,7287
Phoenix Outdoor,,closed or rebranded,Aspen,Aspen,True,18595,4,8348,4599
Piney Ridge Center,,open,Aspen,Aspen,False,28749,4,6381,6000
Ridgeview Group Home,,open,Aspen,Aspen,False,28749,1,5327,7752
SEASONS,,closed or rebranded,Aspen,Aspen,True,18595,1,8348,5239
SUWS Adolescent and Youth Programs,,closed or rebranded,Aspen,Aspen,True,34099,1,8573,5502
SUWS Idaho,,closed or rebranded,Aspen,Aspen,True,28749,5,7526,3306
SUWS of the Carolinas,,closed or rebranded,Aspen,Aspen,True,28749,18,8041,5425
Sam Wallace,,unmarked,Aspen,,False,16931,2,6381,6452
Saving Teens,,open,Aspen,,False,43357,1,6334,4826
Scott Fitzwater,,unmarked,Aspen,,False,12363,2,6073,4204
Southwood Psychiatric Hospital,,open,Aspen,Aspen,False,67697,2,6587,6791
Stone Mountain School,,closed or rebranded,Aspen,,True,33881,6,7738,6534
Susan Hardy,,unmarked,Aspen,,False,14308,2,7816,4250
Talisman Programs,,open,Aspen,Aspen,False,28749,2,5179,4178
Talisman School,,closed or rebranded,Aspen,Aspen,True,28749,2,6413,3991
Tampa Behavioral Health,,open,Aspen,Aspen,False,52949,2,8401,5972
Telos Academy,,open,Aspen,,True,28749,2,8315,3429
Telos RTC,,closed or rebranded,Aspen,,False,25020,2,8522,3575
The Oakley School,,closed or rebranded,Aspen,Aspen,True,28749,7,7526,2679
Tim Brace,,unmarked,Aspen,,False,11215,7,6173,5164
Village Behavioral Health Treatment Center,,open,Aspen,Aspen,False,75724,1,8942,6651
W. Dean Belnap,,unmarked,Aspen,,False,12765,2,6253,3242
Walkabout Therapeutic Expeditions,,closed or rebranded,Aspen,Aspen,True,30637,2,5494,4070
Whetstone Academy,,open,Aspen,,False,28749,5,6834,7266
Aspiro Group,,unmarked,Aspiro,,False,25020,4,-4539,9231
Ben Pearson,,unmarked,Aspiro,,False,15244,2,-2338,9629
Bernie Zimmerman,,unmarked,Aspiro,,False,16457,4,-4724,8682
Blue Ridge Therapeutic Wilderness,,open,Aspiro,,True,28134,4,-5097,10180
Brush Ranch School,,closed or rebranded,Aspiro,,False,25020,1,-4491,9990
Cherokee Creek Boys School,,open,Aspiro,,True,32074,4,-5103,9377
Cindy Fogel,,unmarked,Aspiro,,False,15244,4,-3055,10576
Daniels Academy,,closed or rebranded,Aspiro,,False,25020,7,-4063,9549
Evoke Cascades,,closed or rebranded,Aspiro,,True,25020,1,-4805,12411
Evoke Entrada,,open,Aspiro,,True,25020,1,-4449,12385
Evoke Therapy Programs,,open,Aspiro,,True,25020,3,-4449,11792
Huntsman Mental Health Institute,,open,Aspiro,,False,28749,2,-5097,11338
Hyde School,,open,Aspiro,,False,28749,2,-2468,8502
Jessica Jewell,,unmarked,Aspiro,,False,11054,2,-5097,10972
Joesph Gauld,,unmarked,Aspiro,,False,13172,1,-2550,8869
Jonathan Daniel Birnkrant,,unmarked,Aspiro,,False,22495,2,-2526,11661
Katie Rienstra,,unmarked,Aspiro,,False,14130,3,-4966,9828
Krista Zimmerman,,unmarked,Aspiro,,False,16232,2,-4692,8431
Lone Star Expeditions,,closed or rebranded,Aspiro,,True,33108,4,-4558,11286
Oak Creek Ranch School,,closed or rebranded,Aspiro,,False,28749,1,-4273,8620
Obsidian Schools,,closed or rebranded,Aspiro,,True,22495,1,-2463,10356
Obsidian Trails Outdoor Schools,,closed or rebranded,Aspiro,,True,34448,2,-2463,10772
Sean Haggerty,,unmarked,Aspiro,,False,13172,2,-4806,9895
Second Nature,,open,Aspiro,Aspiro,True,30674,4,-5097,10356
Second Nature Blue Ridge,,closed or rebranded,Aspiro,Aspiro,True,25020,5,-4636,10180
Second Nature Cascades,,closed or rebranded,Aspiro,Aspiro,True,25020,5,-3247,10853
Second Nature Entrada,,closed or rebranded,Aspiro,Aspiro,True,25020,1,-2922,10924
Second Nature Entrada & Cascades,,closed or rebranded,Aspiro,Aspiro,True,31255,3,-3143,11304
Second Nature Uintas,,closed or rebranded,Aspiro,Aspiro,True,25020,5,-3949,10017
Second Nature Uintas & Blue Ridge,,closed or rebranded,Aspiro,Aspiro,True,34318,3,-3834,11498
Second Nature Wilderness Family Therapy,,open,Aspiro,Aspiro,True,45092,8,-3600,10827
Stillwater Academy,,open,Aspiro,,True,28749,4,-3836,9107
Summit Preparatory School,,open,Aspiro,,True,28749,2,-4539,11017
ThreePeaks Ascent RTC,,open,Aspiro,,False,25020,1,-4901,9107
Turnabout Academy,,closed or rebranded,Aspiro,,True,28749,2,-2935,8684
Vantage Point,,closed or rebranded,Aspiro,,False,25020,4,-4537,8822
Aspiro Wilderness Adventure Therapy,,closed or rebranded,Asst. (north),,True,37593,6,-5574,2297
Blaine Fisher,,unmarked,Asst. (north),,False,8468,2,-6567,863
Bryan Delaney,,unmarked,Asst. (north),,False,14229,4,-5468,754
Cedars Academy,,closed or rebranded,Asst. (north),,True,28749,2,-6524,2227
Chris Tarver,,unmarked,Asst. (north),,False,14193,2,-6414,830
Cottonwood Treatment Center,,closed or rebranded,Asst. (north),UHS,False,23887,2,-5371,-1318
Coyote Karrick,,unmarked,Asst. (north),,False,9389,3,-6925,291
Cramer Creek School,,closed or rebranded,Asst. (north),,False,25020,1,-5178,-529
David Yeats,,unmarked,Asst. (north),,False,9577,2,-5671,-1383
Deanna Atkinson Valente,,unmarked,Asst. (north),,False,13172,2,-5561,1325
Distant Drums Beginnings,,closed or rebranded,Asst. (north),,False,28749,2,-6120,-675
Elan School,,closed or rebranded,Asst. (north),,True,28749,3,-5931,1135
George Ullrich,,unmarked,Asst. (north),,False,14130,4,-7457,-277
Gordon Newell,,unmarked,Asst. (north),,False,8744,2,-6913,-10
"Greenwood Associates, Inc",,open,Asst. (north),,False,34947,1,-7268,2510
Jami Sturges Ullrich,,unmarked,Asst. (north),,False,13608,2,-7457,-545
Jamie Caldwell,,unmarked,Asst. (north),,False,13197,2,-6173,616
Jason Dalton,,unmarked,Asst. (north),,False,8102,2,-6310,1369
Jeremy Nunelley,,unmarked,Asst. (north),,False,14326,4,-4945,2452
Jodi Escalante,,unmarked,Asst. (north),,False,12616,4,-6675,1224
John Cohen,,unmarked,Asst. (north),,False,13235,3,-6581,1774
John L. Santa,,unmarked,Asst. (north),,False,9194,2,-7229,1134
John Sarchio,,unmarked,Asst. (north),,False,10997,2,-7273,-449
Julia Andrick,,unmarked,Asst. (north),,False,11182,3,-5492,-1104
Ken Betts,,unmarked,Asst. (north),,False,13172,5,-5664,1661
Lee Caldwell,,unmarked,Asst. (north),,False,11619,3,-6682,616
Linda Houghton,,unmarked,Asst. (north),,False,11715,4,-5719,179
Mary Pauer,,unmarked,Asst. (north),,False,13235,2,-7163,2022
Northwoods Boarding School,,open,Asst. (north),,False,28388,1,-5671,-1017
Pacific Quest,,open,Asst. (north),,False,28749,1,-7205,1577
Patrick Logan,,unmarked,Asst. (north),,False,13172,3,-6833,1489
Peter Rowe,,unmarked,Asst. (north),,False,13172,2,-5915,1903
ROP Nevada,,unmarked,Asst. (north),,False,25020,2,-5121,19
Rob Cooley,,unmarked,Asst. (north),,False,11677,2,-7495,1665
SageWalk Wilderness,,closed or rebranded,Asst. (north),,True,28749,11,-7110,-791
