unique_name,facility_count,ca_facility_count,note
Beloved Ones,5,5,multi-facility CA-only project (5 facilities) — kept
Boys Town California,2,2,multi-facility CA-only project (2 facilities) — kept
Center for Positive Changes,7,7,multi-facility CA-only project (7 facilities) — kept
CHARLEE Family Care Inc.,2,2,multi-facility CA-only project (2 facilities) — kept
Delilu Achievement Home,4,4,multi-facility CA-only project (4 facilities) — kept
Dimondale Adolescent Care Facility,7,7,multi-facility CA-only project (7 facilities) — kept
Eggleston - La Verne,2,2,multi-facility CA-only project (2 facilities) — kept
EMQ FamiliesFirst,2,2,multi-facility CA-only project (2 facilities) — kept
Ettie Lee Homes - Diamond L. Ranch,1,1,single-facility CA project; NOT in CALIFORNIA (review)
Fields Comprehensive Youth Services,3,3,multi-facility CA-only project (3 facilities) — kept
Greenacre Homes,4,4,multi-facility CA-only project (4 facilities) — kept
Guiding Light Home for Boys,2,2,multi-facility CA-only project (2 facilities) — kept
Heritage Youth Services,6,6,multi-facility CA-only project (6 facilities) — kept
"New Alternatives, Inc.",2,2,multi-facility CA-only project (2 facilities) — kept
New Beginnings Residential Treatment Facilities,2,2,multi-facility CA-only project (2 facilities) — kept
Open Line - The Oaks,1,1,single-facility CA project; NOT in CALIFORNIA (review)
Open Line - Woodcliff,1,1,single-facility CA project; NOT in CALIFORNIA (review)
Pacific Autism Center for Education,5,5,multi-facility CA-only project (5 facilities) — kept
Seneca Connections STRTP,2,2,multi-facility CA-only project (2 facilities) — kept
Tarzana Treatment Centers,2,2,multi-facility CA-only project (2 facilities) — kept
Unicorn Garden,3,3,multi-facility CA-only project (3 facilities) — kept
"Varsity Team, Inc.",4,4,multi-facility CA-only project (4 facilities) — kept
Victor Treatment Center - Romberger House,1,1,single-facility CA project; NOT in CALIFORNIA (review)
Visions Adolescent Treatment Center,3,3,multi-facility CA-only project (3 facilities) — kept
Vista Del Mar Child and Family Services STRTP,1,1,single-facility CA project; NOT in CALIFORNIA (review)
"3718 Dimaggio Way, Antioch, CA 94509;",4,4,multi-facility CA-only project (4 facilities) — kept
"Trabuco Canyon, CA;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"8983 Coan Ln, Orangevale, CA 95662;",6,6,multi-facility CA-only project (6 facilities) — kept
"Palm Desert, CA;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"1564 W 36th Pl, Los Angeles, CA 90018;",2,2,multi-facility CA-only project (2 facilities) — kept
"1632 E Dimondale Dr, Carson, CA 90746;",6,6,multi-facility CA-only project (6 facilities) — kept
"215 W La Verne Ave, Pomona, CA 91767;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"Davis, CA;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"2390 Portola St, San Bernardino, CA 92407",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"7760 Joyce Dr, Sebastopol, CA 95472;",3,3,multi-facility CA-only project (3 facilities) — kept
"25123 Middlebrook Way, Moreno Valley, CA 92551;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"30 Country Wood Dr, Phillips Ranch, CA 91766;",5,5,multi-facility CA-only project (5 facilities) — kept
"238 S Flower St, Orange, CA 92868;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"2464 Slew of Gold Ct, Perris, CA 92571;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"San Francisco, CA;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"18646 W Oxnard St, Tarzana, CA 91356;",1,1,single-facility CA project; NOT in CALIFORNIA (review)
"3817 Edith Ln, Bakersfield, CA 93304;",2,2,multi-facility CA-only project (2 facilities) — kept
"7250 Wiest Rd, Calipatria, CA 92233;",3,3,multi-facility CA-only project (3 facilities) — kept
"33335 Mulholland Hwy, Malibu, CA 90265;",2,2,multi-facility CA-only project (2 facilities) — kept
