unique_name,facility_name,reason
"2nd Home, Inc - San Jose","2nd Home, Inc - San Jose",single-facility CA project; name already in CALIFORNIA
"2nd Home, Inc - Tenaya House","2nd Home, Inc - Tenaya House",single-facility CA project; name already in CALIFORNIA
Aaron's Boys Home,Aaron's Boys Home,single-facility CA project; name already in CALIFORNIA
About Face Cadet Corps,About Face Cadet Corps,single-facility CA project; name already in CALIFORNIA
Achieve Residential Center,Achieve Residential Center,single-facility CA project; name already in CALIFORNIA
Adeona Healthcare,Adeona Healthcare,single-facility CA project; name already in CALIFORNIA
Adolescent Growth,Adolescent Growth,single-facility CA project; name already in CALIFORNIA
Advent Group Ministries - Summit Ranch,Advent Group Ministries - Summit Ranch,single-facility CA project; name already in CALIFORNIA
Agape Homes Orcutt,Agape Homes Orcutt,single-facility CA project; name already in CALIFORNIA
Agoura Hills RTC,Agoura Hills RTC,single-facility CA project; name already in CALIFORNIA
Alan M. Crogan Youth Treatment/Educational Center,Alan M. Crogan Youth Treatment/Educational Center,single-facility CA project; name already in CALIFORNIA
Alana's House,Alana's House,single-facility CA project; name already in CALIFORNIA
Alpha Connection Youth & Family Services,Alpha Connection Youth & Family Services,single-facility CA project; name already in CALIFORNIA
Alameda County Juvenile Justice Facility,Alameda County Juvenile Justice Facility,single-facility CA project; name already in CALIFORNIA
Amali,Amali,single-facility CA project; name already in CALIFORNIA
Angel Gate Academy,Angel Gate Academy,single-facility CA project; name already in CALIFORNIA
Arden Oaks RTC,Arden Oaks RTC,single-facility CA project; name already in CALIFORNIA
"Argent Ventures, Inc.","Argent Ventures, Inc.",single-facility CA project; name already in CALIFORNIA
Arise for Girls Los Angeles,Arise for Girls Los Angeles,single-facility CA project; name already in CALIFORNIA
Ascend – Canyons,Ascend – Canyons,single-facility CA project; name already in CALIFORNIA
Ascend – Empress House,Ascend – Empress House,single-facility CA project; name already in CALIFORNIA
Ascend – Haven House,Ascend – Haven House,single-facility CA project; name already in CALIFORNIA
Ascend – Kallos House,Ascend – Kallos House,single-facility CA project; name already in CALIFORNIA
Ascend – Magnolia House,Ascend – Magnolia House,single-facility CA project; name already in CALIFORNIA
Ascend – Oaks House,Ascend – Oaks House,single-facility CA project; name already in CALIFORNIA
Ashlan House,Ashlan House,single-facility CA project; name already in CALIFORNIA
Atkinson Family Services,Atkinson Family Services,single-facility CA project; name already in CALIFORNIA
Aura RTC,Aura RTC,single-facility CA project; name already in CALIFORNIA
Barry J. Nidorf Juvenile Hall SYTF,Barry J. Nidorf Juvenile Hall SYTF,single-facility CA project; name already in CALIFORNIA
Barstow House,Barstow House,single-facility CA project; name already in CALIFORNIA
Bauer Residential Santa Maria 3 Group Home,Bauer Residential Santa Maria 3 Group Home,single-facility CA project; name already in CALIFORNIA
Bayfront Youth and Family Services - Residential Treatment Program,Bayfront Youth and Family Services - Residential Treatment Program,single-facility CA project; name already in CALIFORNIA
Bea's Youth Treatment Home for Girls,Bea's Youth Treatment Home for Girls,single-facility CA project; name already in CALIFORNIA
Beachside Teen Treatment,Beachside Teen Treatment,single-facility CA project; name already in CALIFORNIA
Bear Creek Academy Youth Camp,Bear Creek Academy Youth Camp,single-facility CA project; name already in CALIFORNIA
Bella Vista @ Taylor,Bella Vista @ Taylor,single-facility CA project; name already in CALIFORNIA
Bella Vista @ Wyoming,Bella Vista @ Wyoming,single-facility CA project; name already in CALIFORNIA
Bell Academy,Bell Academy,single-facility CA project; name already in CALIFORNIA
Berhe Group Home Inc.,Berhe Group Home Inc.,single-facility CA project; name already in CALIFORNIA
Berkeley Cottage,Berkeley Cottage,single-facility CA project; name already in CALIFORNIA
Berkeley Lodge,Berkeley Lodge,single-facility CA project; name already in CALIFORNIA
Betty's House of Care,Betty's House of Care,single-facility CA project; name already in CALIFORNIA
Blissful Living Group Home,Blissful Living Group Home,single-facility CA project; name already in CALIFORNIA
Blue Mountain Wilderness Program,Blue Mountain Wilderness Program,single-facility CA project; name already in CALIFORNIA
Blume Behavioral Health RTC,Blume Behavioral Health RTC,single-facility CA project; name already in CALIFORNIA
BNI Teen Treatment Centers - Agoura,BNI Teen Treatment Centers - Agoura,single-facility CA project; name already in CALIFORNIA
BNI Teen Treatment Centers - Calabasas,BNI Teen Treatment Centers - Calabasas,single-facility CA project; name already in CALIFORNIA
Born for Nia Maternity Home,Born for Nia Maternity Home,single-facility CA project; name already in CALIFORNIA
Bourne Family Services,Bourne Family Services,single-facility CA project; name already in CALIFORNIA
Boys Hope Girls Hope of Southern California,Boys Hope Girls Hope of Southern California,single-facility CA project; name already in CALIFORNIA
Boys Republic,Boys Republic,single-facility CA project; name already in CALIFORNIA
Boys Republic Graves Cottage STRTP,Boys Republic Graves Cottage STRTP,single-facility CA project; name already in CALIFORNIA
Boys Republic McCormick STRTP,Boys Republic McCormick STRTP,single-facility CA project; name already in CALIFORNIA
Boys Republic Monrovia Residence,Boys Republic Monrovia Residence,single-facility CA project; name already in CALIFORNIA
Boys Republic Pomona Residence,Boys Republic Pomona Residence,single-facility CA project; name already in CALIFORNIA
Boys Republic Silverlake Residence,Boys Republic Silverlake Residence,single-facility CA project; name already in CALIFORNIA
Breaking the Cycle Treatment Program,Breaking the Cycle Treatment Program,single-facility CA project; name already in CALIFORNIA
Brighter Horizon Treatment Center,Brighter Horizon Treatment Center,single-facility CA project; name already in CALIFORNIA
Building Unique Youth Alternatives,Building Unique Youth Alternatives,single-facility CA project; name already in CALIFORNIA
Bruce & Nelson Residential Facility,Bruce & Nelson Residential Facility,single-facility CA project; name already in CALIFORNIA
Build Bright Care Group,Build Bright Care Group,single-facility CA project; name already in CALIFORNIA
Burt Children's Center,Burt Children's Center,single-facility CA project; name already in CALIFORNIA
Butte County Camp Condor,Butte County Camp Condor,single-facility CA project; name already in CALIFORNIA
Butte County Juvenile Hall,Butte County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Calabasas RTC,Calabasas RTC,single-facility CA project; name already in CALIFORNIA
California Family Life Center - Hemet House,California Family Life Center - Hemet House,single-facility CA project; name already in CALIFORNIA
California Family Life Center - Hemet Ranch,California Family Life Center - Hemet Ranch,single-facility CA project; name already in CALIFORNIA
California Family Life Center - Sunset House,California Family Life Center - Sunset House,single-facility CA project; name already in CALIFORNIA
"Cameron Youth Home Facilities, Inc.","Cameron Youth Home Facilities, Inc.",single-facility CA project; name already in CALIFORNIA
Camp Erwin Owen,Camp Erwin Owen,single-facility CA project; name already in CALIFORNIA
Camp Joseph Scott,Camp Joseph Scott,single-facility CA project; name already in CALIFORNIA
Camp O'Neal,Camp O'Neal,single-facility CA project; name already in CALIFORNIA
Camp Resnick,Camp Resnick,single-facility CA project; name already in CALIFORNIA
Camp Wilmont Sweeney,Camp Wilmont Sweeney,single-facility CA project; name already in CALIFORNIA
Campus Kilpatrick SYTF,Campus Kilpatrick SYTF,single-facility CA project; name already in CALIFORNIA
Camry Group Home,Camry Group Home,single-facility CA project; name already in CALIFORNIA
Canyon Oaks Youth Center,Canyon Oaks Youth Center,single-facility CA project; name already in CALIFORNIA
Capistrano-By-the-Sea,Capistrano-By-the-Sea,single-facility CA project; name already in CALIFORNIA
Casa de Amparo - Casa Kids Campus STRTP,Casa de Amparo - Casa Kids Campus STRTP,single-facility CA project; name already in CALIFORNIA
Casa Esperanza STRTP - Chino,Casa Esperanza STRTP - Chino,single-facility CA project; name already in CALIFORNIA
Casa Esperanza STRTP - Pomona,Casa Esperanza STRTP - Pomona,single-facility CA project; name already in CALIFORNIA
Casa Pacifica STRTP,Casa Pacifica STRTP,single-facility CA project; name already in CALIFORNIA
Cascade School,Cascade School,single-facility CA project; name already in CALIFORNIA
Center for Reuniting Families,Center for Reuniting Families,single-facility CA project; name already in CALIFORNIA
Center for ReUniting Families at Camp Osceola,Center for ReUniting Families at Camp Osceola,single-facility CA project; name already in CALIFORNIA
Core Conditions Inc. - Oak,Core Conditions Inc. - Oak,single-facility CA project; name already in CALIFORNIA
Core Conditions Inc. - Brawley,Core Conditions Inc. - Brawley,single-facility CA project; name already in CALIFORNIA
Core Conditions Inc. - Dakota,Core Conditions Inc. - Dakota,single-facility CA project; name already in CALIFORNIA
CCJ - Heart to Heart,CCJ - Heart to Heart,single-facility CA project; name already in CALIFORNIA
CEDU Middle School,CEDU Middle School,single-facility CA project; name already in CALIFORNIA
Celeste House,Celeste House,single-facility CA project; name already in CALIFORNIA
Central Valley Juvenile Detention & Assessment Center,Central Valley Juvenile Detention & Assessment Center,single-facility CA project; name already in CALIFORNIA
Chamberlain's Youth Services,Chamberlain's Youth Services,single-facility CA project; name already in CALIFORNIA
"Changing Faces, Inc","Changing Faces, Inc",single-facility CA project; name already in CALIFORNIA
Charis Youth Center,Charis Youth Center,single-facility CA project; name already in CALIFORNIA
Childhelp - Joann,Childhelp - Joann,single-facility CA project; name already in CALIFORNIA
Childhelp - Johnson,Childhelp - Johnson,single-facility CA project; name already in CALIFORNIA
Childhelp - Merv Griffin Village,Childhelp - Merv Griffin Village,single-facility CA project; name already in CALIFORNIA
Children's Home of Stockton - Alpine Cottage,Children's Home of Stockton - Alpine Cottage,single-facility CA project; name already in CALIFORNIA
Children's Home of Stockton - Aspen Cottage,Children's Home of Stockton - Aspen Cottage,single-facility CA project; name already in CALIFORNIA
Children's Home of Stockton - Cypress Cottage,Children's Home of Stockton - Cypress Cottage,single-facility CA project; name already in CALIFORNIA
Children's Home of Stockton - Delta Cottage,Children's Home of Stockton - Delta Cottage,single-facility CA project; name already in CALIFORNIA
Children's Home of Stockton - Oak Cottage,Children's Home of Stockton - Oak Cottage,single-facility CA project; name already in CALIFORNIA
Children's Home of Stockton - Redwood Cottage,Children's Home of Stockton - Redwood Cottage,single-facility CA project; name already in CALIFORNIA
Children's Home of Stockton - Triplex Cottages,Children's Home of Stockton - Triplex Cottages,single-facility CA project; name already in CALIFORNIA
Children's Hope Group Home,Children's Hope Group Home,single-facility CA project; name already in CALIFORNIA
Children's Legacy Center,Children's Legacy Center,single-facility CA project; name already in CALIFORNIA
Children's Receiving Home of Sacramento RTP,Children's Receiving Home of Sacramento RTP,single-facility CA project; name already in CALIFORNIA
Circle C Ranch,Circle C Ranch,single-facility CA project; name already in CALIFORNIA
Coastal Valley Academy,Coastal Valley Academy,single-facility CA project; name already in CALIFORNIA
Cole Ranch RTC,Cole Ranch RTC,single-facility CA project; name already in CALIFORNIA
Contra Costa Juvenile Hall,Contra Costa Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Corinthians Helping Hand Group Home,Corinthians Helping Hand Group Home,single-facility CA project; name already in CALIFORNIA
Courage to Change,Courage to Change,single-facility CA project; name already in CALIFORNIA
Creekside STRP,Creekside STRP,single-facility CA project; name already in CALIFORNIA
Crittenton Services for Children and Families STRTP,Crittenton Services for Children and Families STRTP,single-facility CA project; name already in CALIFORNIA
Danville RTC,Danville RTC,single-facility CA project; name already in CALIFORNIA
Daniel and Nancy Marble Casa De Ninos,Daniel and Nancy Marble Casa De Ninos,single-facility CA project; name already in CALIFORNIA
Daughter Project Girls Home,Daughter Project Girls Home,single-facility CA project; name already in CALIFORNIA
David and Margaret Youth and Family Services STRTP,David and Margaret Youth and Family Services STRTP,single-facility CA project; name already in CALIFORNIA
Desert Sage Youth Wellness Center,Desert Sage Youth Wellness Center,single-facility CA project; name already in CALIFORNIA
Dignity STRTP,Dignity STRTP,single-facility CA project; name already in CALIFORNIA
DN Associates - Blythe,DN Associates - Blythe,single-facility CA project; name already in CALIFORNIA
DN Associates - Polk,DN Associates - Polk,single-facility CA project; name already in CALIFORNIA
Door to Hope - Santa Lucia,Door to Hope - Santa Lucia,single-facility CA project; name already in CALIFORNIA
Dorothy Kirby Center SYTF,Dorothy Kirby Center SYTF,single-facility CA project; name already in CALIFORNIA
Dove Song RTC,Dove Song RTC,single-facility CA project; name already in CALIFORNIA
Downs & Martin Children Services,Downs & Martin Children Services,single-facility CA project; name already in CALIFORNIA
EA Nighthawk STRTP,EA Nighthawk STRTP,single-facility CA project; name already in CALIFORNIA
Eagle Eye - Horizons,Eagle Eye - Horizons,single-facility CA project; name already in CALIFORNIA
Eagle Eye - Vista,Eagle Eye - Vista,single-facility CA project; name already in CALIFORNIA
Eagle's Wings Ranch,Eagle's Wings Ranch,single-facility CA project; name already in CALIFORNIA
East Mesa Juvenile Detention Facility,East Mesa Juvenile Detention Facility,single-facility CA project; name already in CALIFORNIA
Echo Malibu Youth Treatment Center,Echo Malibu Youth Treatment Center,single-facility CA project; name already in CALIFORNIA
Edgewood Center for Children and Families STRTP,Edgewood Center for Children and Families STRTP,single-facility CA project; name already in CALIFORNIA
Eggleston - Ontario STRTP,Eggleston - Ontario STRTP,single-facility CA project; name already in CALIFORNIA
Eggleston Upland Group Home,Eggleston Upland Group Home,single-facility CA project; name already in CALIFORNIA
Eggleston West Covina Group Home,Eggleston West Covina Group Home,single-facility CA project; name already in CALIFORNIA
Eggleston Youth Center,Eggleston Youth Center,single-facility CA project; name already in CALIFORNIA
El Dorado Juvenile Treatment Center,El Dorado Juvenile Treatment Center,single-facility CA project; name already in CALIFORNIA
Elite Family Systems Inc. - Banyan Home,Elite Family Systems Inc. - Banyan Home,single-facility CA project; name already in CALIFORNIA
Elite Family Systems Inc. - Blaker Home,Elite Family Systems Inc. - Blaker Home,single-facility CA project; name already in CALIFORNIA
Elite Family Systems Inc. - Leslie Home,Elite Family Systems Inc. - Leslie Home,single-facility CA project; name already in CALIFORNIA
Elite Family Systems Inc. - Scoffield Home,Elite Family Systems Inc. - Scoffield Home,single-facility CA project; name already in CALIFORNIA
Elysian STRTP,Elysian STRTP,single-facility CA project; name already in CALIFORNIA
Embolden Youth Services - Iris House,Embolden Youth Services - Iris House,single-facility CA project; name already in CALIFORNIA
Ettie Lee Homes - Fontana Home,Ettie Lee Homes - Fontana Home,single-facility CA project; name already in CALIFORNIA
Ettie Lee Homes - Robertson Memorial Home,Ettie Lee Homes - Robertson Memorial Home,single-facility CA project; name already in CALIFORNIA
Faith Home Teen Ranch,Faith Home Teen Ranch,single-facility CA project; name already in CALIFORNIA
Family First Growth Camp,Family First Growth Camp,single-facility CA project; name already in CALIFORNIA
Family Life Center,Family Life Center,single-facility CA project; name already in CALIFORNIA
Family of Programs STRTP,Family of Programs STRTP,single-facility CA project; name already in CALIFORNIA
Father's Heart Ranch,Father's Heart Ranch,single-facility CA project; name already in CALIFORNIA
Ferree's Group Home,Ferree's Group Home,single-facility CA project; name already in CALIFORNIA
"First Chance at Success Children's Home, Inc.","First Chance at Success Children's Home, Inc.",single-facility CA project; name already in CALIFORNIA
First Step Treatment Home,First Step Treatment Home,single-facility CA project; name already in CALIFORNIA
Five Acres - Solita Home,Five Acres - Solita Home,single-facility CA project; name already in CALIFORNIA
Five Acres STRTP - Colby,Five Acres STRTP - Colby,single-facility CA project; name already in CALIFORNIA
Forest Farms,Forest Farms,single-facility CA project; name already in CALIFORNIA
Fred C. Nelles Youth Correctional Facility,Fred C. Nelles Youth Correctional Facility,single-facility CA project; name already in CALIFORNIA
Fred D. Jones Youth Center,Fred D. Jones Youth Center,single-facility CA project; name already in CALIFORNIA
Fred Finch Youth & Family Services - New Yosemite,Fred Finch Youth & Family Services - New Yosemite,single-facility CA project; name already in CALIFORNIA
Fred Finch Youth & Family Services - San Diego Dual Diagnosis,Fred Finch Youth & Family Services - San Diego Dual Diagnosis,single-facility CA project; name already in CALIFORNIA
Fresno Youth for Christ,Fresno Youth for Christ,single-facility CA project; name already in CALIFORNIA
Future Stars Youth Center,Future Stars Youth Center,single-facility CA project; name already in CALIFORNIA
Gateway Residential Program - Fair Oaks House,Gateway Residential Program - Fair Oaks House,single-facility CA project; name already in CALIFORNIA
Gateway Residential Programs - Gingerblossom House,Gateway Residential Programs - Gingerblossom House,single-facility CA project; name already in CALIFORNIA
Gateway Residential Programs - Hickory House,Gateway Residential Programs - Hickory House,single-facility CA project; name already in CALIFORNIA
Gateway Residential Programs - Palm House,Gateway Residential Programs - Palm House,single-facility CA project; name already in CALIFORNIA
Gateway Residential Programs - Winding House,Gateway Residential Programs - Winding House,single-facility CA project; name already in CALIFORNIA
Gentle Spirit Ranch,Gentle Spirit Ranch,single-facility CA project; name already in CALIFORNIA
Girls Republic,Girls Republic,single-facility CA project; name already in CALIFORNIA
Greater New Beginnings - Filbert House,Greater New Beginnings - Filbert House,single-facility CA project; name already in CALIFORNIA
Greenway Orchard,Greenway Orchard,single-facility CA project; name already in CALIFORNIA
Guiding Hands School,Guiding Hands School,single-facility CA project; name already in CALIFORNIA
Gym TD,Gym TD,single-facility CA project; name already in CALIFORNIA
Hanna Boys Center STRTP,Hanna Boys Center STRTP,single-facility CA project; name already in CALIFORNIA
"Harbor Youth Facility, Inc.","Harbor Youth Facility, Inc.",single-facility CA project; name already in CALIFORNIA
Hart Community Homes,Hart Community Homes,single-facility CA project; name already in CALIFORNIA
