state,unique_name,facility_count,note
UTAH,Ascent,7,multi-facility UTAH project (7 facilities) — kept for review
UTAH,CERTS,5,multi-facility UTAH project (5 facilities) — kept for review
FLORIDA,Eckerd,26,multi-facility FLORIDA project (26 facilities) — kept for review
CALIFORNIA,Evolve,13,multi-facility CALIFORNIA project (13 facilities) — kept for review
UTAH,Hope,3,multi-facility UTAH project (3 facilities) — kept for review
ILLINOIS,NeuroRestorative,14,multi-facility ILLINOIS project (14 facilities) — kept for review
FLORIDA,TrueCore,12,multi-facility FLORIDA project (12 facilities) — kept for review
UTAH,UTAH,49,multi-facility UTAH project (49 facilities) — kept for review
ALABAMA,Elk River Treatment Program (CLOSED,1,single-facility ALABAMA project; name NOT in mega — review
ALABAMA,Southeastern Psychiatric Management dba Mountain View Hospital Summit Crest Lodge,1,single-facility ALABAMA project; name NOT in mega — review
ARIZONA,All About Kids,2,multi-facility ARIZONA project (2 facilities) — kept for review
ARIZONA,"Back to Life, Inc.",2,multi-facility ARIZONA project (2 facilities) — kept for review
ARIZONA,"Basami House, LLC",2,multi-facility ARIZONA project (2 facilities) — kept for review
ARIZONA,Four Directions,3,multi-facility ARIZONA project (3 facilities) — kept for review
ARIZONA,Intermountain Centers For Human Development,4,multi-facility ARIZONA project (4 facilities) — kept for review
ARIZONA,Mary's Mission And Developmental Center,2,multi-facility ARIZONA project (2 facilities) — kept for review
ARIZONA,Mattie's Care House LLC,2,multi-facility ARIZONA project (2 facilities) — kept for review
ARIZONA,Miss A's LLC,2,multi-facility ARIZONA project (2 facilities) — kept for review
ARIZONA,New Haven Communities LLC,2,multi-facility ARIZONA project (2 facilities) — kept for review
ARIZONA,"New Hope Of Arizona, Inc",12,multi-facility ARIZONA project (12 facilities) — kept for review
ARIZONA,New Horizon Youth Homes,11,multi-facility ARIZONA project (11 facilities) — kept for review
ARIZONA,The Chazen Institute,2,multi-facility ARIZONA project (2 facilities) — kept for review
CALIFORNIA,Beloved Ones,5,multi-facility CALIFORNIA project (5 facilities) — kept for review
CALIFORNIA,Boys Town California,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Center for Positive Changes,7,multi-facility CALIFORNIA project (7 facilities) — kept for review
CALIFORNIA,CHARLEE Family Care Inc.,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Delilu Achievement Home,4,multi-facility CALIFORNIA project (4 facilities) — kept for review
CALIFORNIA,Destinations for Teens Residential Program,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Dimondale Adolescent Care Facility,7,multi-facility CALIFORNIA project (7 facilities) — kept for review
CALIFORNIA,Eggleston - La Verne,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,EMQ FamiliesFirst,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Ettie Lee Homes - Diamond L. Ranch,1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,Fields Comprehensive Youth Services,3,multi-facility CALIFORNIA project (3 facilities) — kept for review
CALIFORNIA,Greenacre Homes,4,multi-facility CALIFORNIA project (4 facilities) — kept for review
CALIFORNIA,Guiding Light Home for Boys,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Guiding Our Youth,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Heritage Youth Services,6,multi-facility CALIFORNIA project (6 facilities) — kept for review
NEW MEXICO,Muir Wood Teen Treatment Centers - Bradley Ranch,1,single-facility NEW MEXICO project; name NOT in mega — review
CALIFORNIA,"New Alternatives, Inc.",2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,New Beginnings Residential Treatment Facilities,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Open Line - The Oaks,1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,Open Line - Woodcliff,1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,Pacific Autism Center for Education,5,multi-facility CALIFORNIA project (5 facilities) — kept for review
CALIFORNIA,Peacock Acres Group Home STRTP,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Seneca Connections STRTP,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Tarzana Treatment Centers,2,multi-facility CALIFORNIA project (2 facilities) — kept for review
CALIFORNIA,Unicorn Garden,3,multi-facility CALIFORNIA project (3 facilities) — kept for review
CALIFORNIA,"Varsity Team, Inc.",4,multi-facility CALIFORNIA project (4 facilities) — kept for review
CALIFORNIA,Victor Treatment Center - Romberger House,1,single-facility CALIFORNIA project; name NOT in mega — review
CALIFORNIA,Visions Adolescent Treatment Center,3,multi-facility CALIFORNIA project (3 facilities) — kept for review
CALIFORNIA,Vista Del Mar Child and Family Services STRTP,1,single-facility CALIFORNIA project; name NOT in mega — review
COLORADO,Brad’s House,3,multi-facility COLORADO project (3 facilities) — kept for review
COLORADO,Devereux Cleo Wallace Center,2,multi-facility COLORADO project (2 facilities) — kept for review
COLORADO,Kidz Ark,2,multi-facility COLORADO project (2 facilities) — kept for review
COLORADO,Rocky Mountain Kids,3,multi-facility COLORADO project (3 facilities) — kept for review
FLORIDA,Brighter Heights Florida,2,multi-facility FLORIDA project (2 facilities) — kept for review
FLORIDA,Devereux Florida I/DD Group Homes,2,multi-facility FLORIDA project (2 facilities) — kept for review
FLORIDA,Devereux Florida Residential Group Care,2,multi-facility FLORIDA project (2 facilities) — kept for review
FLORIDA,Devereux Florida Specialized Therapeutic Group Homes,2,multi-facility FLORIDA project (2 facilities) — kept for review
GEORGIA,Appalachian Wilderness Camp,2,multi-facility GEORGIA project (2 facilities) — kept for review
HAWAII,Pacific Quest,3,multi-facility HAWAII project (3 facilities) — kept for review
IDAHO,Innercept,2,multi-facility IDAHO project (2 facilities) — kept for review
IDAHO,Northwest Academy,2,multi-facility IDAHO project (2 facilities) — kept for review
IDAHO,Northwoods,2,multi-facility IDAHO project (2 facilities) — kept for review
IDAHO,Rocky Mountain Academy,2,multi-facility IDAHO project (2 facilities) — kept for review
ILLINOIS,Allendale Association,2,multi-facility ILLINOIS project (2 facilities) — kept for review
INDIANA,Active / Operating Facilities,1,single-facility INDIANA project; name NOT in mega — review
INDIANA,Confirmed Closed Facilities,1,single-facility INDIANA project; name NOT in mega — review
KANSAS,Camber Children’s Residential Mental Health Treatment,2,multi-facility KANSAS project (2 facilities) — kept for review
KENTUCKY,Kentucky Youth Academy,3,multi-facility KENTUCKY project (3 facilities) — kept for review
LOUISIANA,Acadiana Center for Youth,2,multi-facility LOUISIANA project (2 facilities) — kept for review
MAINE,Day One,3,multi-facility MAINE project (3 facilities) — kept for review
MAINE,Sweetser Residential Treatment Center,2,multi-facility MAINE project (2 facilities) — kept for review
MARYLAND,Cheltenham Youth Facility,1,single-facility MARYLAND project; name NOT in mega — review
MARYLAND,Green Ridge Youth Center,1,single-facility MARYLAND project; name NOT in mega — review
MARYLAND,J. DeWeese Carter Center,1,single-facility MARYLAND project; name NOT in mega — review
MARYLAND,Meadow Mountain Youth Center,1,single-facility MARYLAND project; name NOT in mega — review
MARYLAND,Thomas J.S. Waxter Children’s Center,1,single-facility MARYLAND project; name NOT in mega — review
MASSACHUSETTS,Devereux STARR Program,2,multi-facility MASSACHUSETTS project (2 facilities) — kept for review
TEXAS,Anchor Home for Boys,2,multi-facility TEXAS project (2 facilities) — kept for review
MISSOURI,Boys and Girls Town of Missouri,3,multi-facility MISSOURI project (3 facilities) — kept for review
MISSOURI,CALO Programs,3,multi-facility MISSOURI project (3 facilities) — kept for review
MISSOURI,Kanakuk Kamps,2,multi-facility MISSOURI project (2 facilities) — kept for review
MISSOURI,KVC Missouri,4,multi-facility MISSOURI project (4 facilities) — kept for review
MISSOURI,Lakeland Behavioral Health System Residential Treatment Program,2,multi-facility MISSOURI project (2 facilities) — kept for review
MONTANA,Mountain Meadow Youth Ranch,2,multi-facility MONTANA project (2 facilities) — kept for review
TEXAS,St. Jude’s Ranch for Children,2,multi-facility TEXAS project (2 facilities) — kept for review
NEW HAMPSHIRE,Nashua Children’s Home Adolescent Boys Residence,2,multi-facility NEW HAMPSHIRE project (2 facilities) — kept for review
NEW HAMPSHIRE,Nashua Children’s Home The Carriage House,2,multi-facility NEW HAMPSHIRE project (2 facilities) — kept for review
NEW JERSEY,D.O.V.E.S. Residential Community Home,1,single-facility NEW JERSEY project; name NOT in mega — review
NEW JERSEY,KIDS of Bergen County,2,multi-facility NEW JERSEY project (2 facilities) — kept for review
