kind,unique_name,facility_count,notes
multi-state,CEDU,6,"{'IDAHO': 4, 'CALIFORNIA': 2}"
multi-state,Altior,4,"{'IDAHO': 1, 'TEXAS': 1, 'MAINE': 1, 'NEW HAMPSHIRE': 1}"
multi-state,Devereux,44,"{'MASSACHUSETTS': 13, 'PENNSYLVANIA': 9, 'GEORGIA': 7, 'FLORIDA': 6, 'ARIZONA': 4}"
multi-state,Embark,15,"{'CALIFORNIA': 3, 'MONTANA': 2, 'UTAH': 2, 'OREGON': 2, 'PENNSYLVANIA': 2}"
multi-state,FHW,19,"{'UTAH': 8, 'NORTH CAROLINA': 5, 'ARIZONA': 2, 'IDAHO': 1, 'COLORADO': 1}"
multi-state,Straight,12,"{'FLORIDA': 3, 'VIRGINIA': 2, 'GEORGIA': 1, 'OHIO': 1, 'TEXAS': 1}"
multi-state,Vivant,5,"{'FLORIDA': 1, 'ALABAMA': 1, 'SOUTH DAKOTA': 1, 'NEW JERSEY': 1, 'ARIZONA': 1}"
multi-state,YOI,23,"{'FLORIDA': 14, 'TENNESSEE': 8, 'ARKANSAS': 1}"
partial-match,Brown,18,"matched=5 unmatched=13; sample=['The Brown Schools at Laurel Ridge', 'Elaine Gordon Treatment Center', 'The Brown Schools at Cedar Springs']"
partial-match,Acadia,14,"matched=13 unmatched=1; sample=['Acadia Montana', 'Aspen Education Group', 'Village Behavioral Health Treatment Center']"
partial-match,Aspen,41,"matched=38 unmatched=3; sample=['Academy at Swift River', 'Adirondack Leadership Expeditions', 'Aspen Achievement Academy']"
partial-match,Eckerd,26,"matched=18 unmatched=8; sample=['Camp E-How-Kee', 'Camp E-Hun-Tee', 'Camp E-Kel-Etu']"
partial-match,KIDS,5,"matched=4 unmatched=1; sample=['KIDS of Bergen County', 'KIDS of the Canadian West', 'KIDS of El Paso']"
partial-match,Newport,31,"matched=29 unmatched=2; sample=['Newport Academy – Acre', 'Newport Academy – Aracena', 'Newport Academy – Avocado']"
partial-match,Roloff,7,"matched=4 unmatched=3; sample=['New Beginnings Girls Academy', 'Lighthouse for Boys', 'Rebekah Home']"
partial-match,Rite of Passage,20,"matched=19 unmatched=1; sample=['Canyon State Academy', 'Daytona Juvenile Residential Facility', 'Falcon Ridge Ranch']"
partial-match,Sequel,43,"matched=38 unmatched=5; sample=['Alachua Academy', 'Auldern Academy', 'Bernalillo Academy']"
partial-match,Teen Challenge,45,"matched=43 unmatched=2; sample=['180 Ministries for Girls', 'Victory House Teen Challenge', 'Columbus Girls Academy']"
partial-match,TSI,27,"matched=14 unmatched=13; sample=['Auldern Academy', 'Jemison Boys Home', 'L.E.A.P.S. Program at Duck River']"
partial-match,UHS,74,"matched=72 unmatched=2; sample=['Alabama Clinical Schools', 'Ascent Wilderness Program', 'Boulder Creek Academy']"
partial-match,Wayne,8,"matched=5 unmatched=3; sample=['Wimauma Academy', ' Tampa Bay Girls Academy - Secure', 'Tampa Bay Girls Academy - Moderate']"
partial-match,WWASPS,36,"matched=21 unmatched=15; sample=['A Better Way Youth Academy', 'Academy at Ivy Ridge', 'Bell(e) Academy']"
partial-match,YSI,6,"matched=2 unmatched=4; sample=['Bartow Youth Training Center', 'Bayamon Treatment Center', 'Marion Youth Academy']"
partial-match,CSC,3,"matched=1 unmatched=2; sample=['Bartow Youth Training Center', 'Bayamon Treatment Center', 'Bell County Juvenile Facility/ Bell County Youth Training Center']"
partial-match,JRI,19,"matched=16 unmatched=3; sample=['Glenhaven Academy', 'Berkshire Meadows School', 'Butler Center']"
partial-match,ROP,20,"matched=19 unmatched=1; sample=['Canyon State Academy', 'Daytona Juvenile Residential Facility', 'Falcon Ridge Ranch']"
no-match,Paradigm,1,sample=['']
no-match,Upwell Advisors,1,sample=['']
no-match,Aldrich,1,sample=['']
no-match,Bodin Group,1,sample=['']
no-match,Four Directions,3,"sample=['Four Directions', 'Four Directions', 'Four Directions']"
no-match,Southwest Oklahoma Juvenile Center,2,"sample=['Southwest Oklahoma Juvenile Center', 'Southwest Oklahoma Juvenile Center']"
