state,unique_name,facility_count,sample
UTAH,Ascent,7,Discovery Academy | Discovery Ranch South | Discovery Ranch
UTAH,CERTS,5,Kaizen Academy | La Europa Academy | Kolob Canyon RTC
CALIFORNIA,Evolve,13,Arden Oaks RTC | Danville RTC | Lafayette RTC
ILLINOIS,NeuroRestorative,14,NeuroRestorative Academy Cardinals House | NeuroRestorative Bears House | NeuroRestorative Berkshire House
FLORIDA,TrueCore,12,Fort Myers Academy | Highlands Youth Academy | Hillsborough Girls Academy
UTAH,UTAH,49,Discovery Academy | Discovery Ranch South | Discovery Ranch
ARIZONA,"New Hope Of Arizona, Inc",12,"New Hope Of Arizona, Inc | New Hope Of Arizona, Inc | New Hope Of Arizona, Inc"
ARIZONA,New Horizon Youth Homes,11,New Horizon Youth Homes | New Horizon Youth Homes | New Horizon Youth Homes
CALIFORNIA,Beloved Ones,5,Beloved Ones | Beloved Ones | Beloved Ones
CALIFORNIA,Center for Positive Changes,7,Center for Positive Changes | Center for Positive Changes | Center for Positive Changes
CALIFORNIA,Dimondale Adolescent Care Facility,7,Dimondale Adolescent Care Facility | Dimondale Adolescent Care Facility | Dimondale Adolescent Care Facility
CALIFORNIA,Heritage Youth Services,6,Heritage Youth Services | Heritage Youth Services | Heritage Youth Services
CALIFORNIA,Pacific Autism Center for Education,5,Pacific Autism Center for Education | Pacific Autism Center for Education | Pacific Autism Center for Education
KENTUCKY,Key Assets Group Homes,8,Key Assets Group Homes | Key Assets Group Homes | Key Assets Group Homes
NEVADA,Ridge House,5,Ridge House | Ridge House | Ridge House
