state,unique_name,facility_count,sample_facility_names
UTAH,Ascent,7,Discovery Academy | Discovery Ranch South | Discovery Ranch
UTAH,CERTS,5,Kaizen Academy | La Europa Academy | Kolob Canyon RTC
CALIFORNIA,Evolve,13,Arden Oaks RTC | Danville RTC | Lafayette RTC
UTAH,Hope,3,Havenwood Academy | Havenwood North | Havenwood Ranch
ILLINOIS,NeuroRestorative,14,NeuroRestorative Academy Cardinals House | NeuroRestorative Bears House | NeuroRestorative Berkshire House
INDIANA,Pathway,4,Pathway Family Center | Pathway Family Center | Pathway Family Center
FLORIDA,TrueCore,12,Fort Myers Academy | Highlands Youth Academy | Hillsborough Girls Academy
UTAH,UTAH,49,Discovery Academy | Discovery Ranch South | Discovery Ranch
ALABAMA,Alabama Baptist Children’s Homes - Dothan,1,Alabama Baptist Children’s Homes - Dothan
ALABAMA,Dallas County Juvenile Detention Center,1,Dallas County Juvenile Detention Center
ALABAMA,Lee County Youth Development Center,2,Lee County Youth Development Center | Lee County Youth Development Center
ALABAMA,The Learning Tree,4,The Learning Tree | The Learning Tree | The Learning Tree
ALASKA,Nome Children’s Home,1,Nome Children’s Home
ARIZONA,All About Kids,2,All About Kids | All About Kids
ARIZONA,"Back to Life, Inc.",2,"Back to Life, Inc. | Back to Life, Inc."
ARIZONA,"Basami House, LLC",2,"Basami House, LLC | Basami House, LLC"
ARIZONA,Intermountain Centers For Human Development,4,Intermountain Centers For Human Development | Intermountain Centers For Human Development | Intermountain Centers For Human Development
ARIZONA,Mary's Mission And Developmental Center,2,Mary's Mission And Developmental Center | Mary's Mission And Developmental Center
ARIZONA,Mattie's Care House LLC,2,Mattie's Care House LLC | Mattie's Care House LLC
ARIZONA,Miss A's LLC,2,Miss A's LLC | Miss A's LLC
ARIZONA,New Haven Communities LLC,2,New Haven Communities LLC | New Haven Communities LLC
ARIZONA,"New Hope Of Arizona, Inc",12,"New Hope Of Arizona, Inc | New Hope Of Arizona, Inc | New Hope Of Arizona, Inc"
ARIZONA,New Horizon Youth Homes,11,New Horizon Youth Homes | New Horizon Youth Homes | New Horizon Youth Homes
ARIZONA,The Chazen Institute,2,The Chazen Institute | The Chazen Institute
ARKANSAS,"Curt, Cliff & Opal Young Children’s Home",1,"Curt, Cliff & Opal Young Children’s Home"
ARKANSAS,Dana’s House,1,Dana’s House
ARKANSAS,Fort Smith Children’s Emergency Shelter,1,Fort Smith Children’s Emergency Shelter
ARKANSAS,Girl’s Shelter of Fort Smith,1,Girl’s Shelter of Fort Smith
ARKANSAS,New Life Children’s Home,1,New Life Children’s Home
ARKANSAS,Northwest Arkansas Children’s Shelter,1,Northwest Arkansas Children’s Shelter
ARKANSAS,Ouachita Children’s Shelter,1,Ouachita Children’s Shelter
ARKANSAS,Texarkana Baptist Children’s Home,1,Texarkana Baptist Children’s Home
ARKANSAS,The Boy’s Shelter,1,The Boy’s Shelter
ARKANSAS,Timothy Hill Children’s Ranch,1,Timothy Hill Children’s Ranch
ARKANSAS,United Methodist Children’s Home Dacus RTC,1,United Methodist Children’s Home Dacus RTC
ARKANSAS,United Methodist Children’s Home John Magale Manor,1,United Methodist Children’s Home John Magale Manor
ARKANSAS,United Methodist Children’s Home Little Rock Campus,1,United Methodist Children’s Home Little Rock Campus
ARKANSAS,United Methodist Children’s Homes Fayetteville Home,1,United Methodist Children’s Homes Fayetteville Home
ARKANSAS,United Methodist Children’s Homes Mulberry Boy’s Home,1,United Methodist Children’s Homes Mulberry Boy’s Home
ARKANSAS,United Methodist Children’s Homes Searcy Home,1,United Methodist Children’s Homes Searcy Home
ARKANSAS,United Methodist Children’s Homes Springdale Girl’s Home,1,United Methodist Children’s Homes Springdale Girl’s Home
CALIFORNIA,Beloved Ones,5,Beloved Ones | Beloved Ones | Beloved Ones
CALIFORNIA,Boys Town California,2,Boys Town California | Boys Town California
CALIFORNIA,Center for Positive Changes,7,Center for Positive Changes | Center for Positive Changes | Center for Positive Changes
CALIFORNIA,CHARLEE Family Care Inc.,2,CHARLEE Family Care Inc. | CHARLEE Family Care Inc.
CALIFORNIA,Delilu Achievement Home,4,Delilu Achievement Home | Delilu Achievement Home | Delilu Achievement Home
CALIFORNIA,Destinations for Teens Residential Program,2,Destinations for Teens Residential Program | Destinations for Teens Residential Program
CALIFORNIA,Dimondale Adolescent Care Facility,7,Dimondale Adolescent Care Facility | Dimondale Adolescent Care Facility | Dimondale Adolescent Care Facility
CALIFORNIA,Eggleston - La Verne,2,Eggleston - La Verne | Eggleston - La Verne
CALIFORNIA,EMQ FamiliesFirst,2,EMQ FamiliesFirst | EMQ FamiliesFirst
CALIFORNIA,Fields Comprehensive Youth Services,3,Fields Comprehensive Youth Services | Fields Comprehensive Youth Services | Fields Comprehensive Youth Services
CALIFORNIA,Greenacre Homes,4,Greenacre Homes | Greenacre Homes | Greenacre Homes
CALIFORNIA,Guiding Light Home for Boys,2,Guiding Light Home for Boys | Guiding Light Home for Boys
CALIFORNIA,Guiding Our Youth,2,Guiding Our Youth | Guiding Our Youth
CALIFORNIA,Heritage Youth Services,6,Heritage Youth Services | Heritage Youth Services | Heritage Youth Services
CALIFORNIA,"New Alternatives, Inc.",2,"New Alternatives, Inc. | New Alternatives, Inc."
