unique_name,facility_count,state_breakdown
CEDU,6,"{""IDAHO"": 2, ""CALIFORNIA"": 2}"
Altior,4,"{""IDAHO"": 1, ""TEXAS"": 1, ""MAINE"": 1, ""NEW HAMPSHIRE"": 1}"
Brown,18,"{""TEXAS"": 3, ""FLORIDA"": 1}"
Acadia,14,"{""MONTANA"": 1, ""TENNESSEE"": 1, ""TEXAS"": 1, ""MISSOURI"": 1, ""ARKANSAS"": 5, ""PENNSYLVANIA"": 1, ""NORTH CAROLINA"": 1, ""UTAH"": 2}"
Aspen,41,"{""MASSACHUSETTS"": 1, ""NEW YORK"": 3, ""UTAH"": 8, ""VERMONT"": 1, ""DELAWARE"": 1, ""ARIZONA"": 1, ""TEXAS"": 3, ""OREGON"": 4, ""NORTH CAROLINA"": 3, ""CALIFORNIA"": 2, ""NEVADA"": 1, ""GEORGIA"": 1, ""HAWAII"": 1, ""PENNSYLVANIA"": 1, ""WISCONSIN"": 1}"
Devereux,44,"{""GEORGIA"": 7, ""ARIZONA"": 4, ""FLORIDA"": 6, ""MASSACHUSETTS"": 13, ""PENNSYLVANIA"": 9, ""TEXAS"": 2, ""COLORADO"": 1, ""NEW YORK"": 1, ""CONNECTICUT"": 1}"
Embark,15,"{""MONTANA"": 2, ""GEORGIA"": 1, ""NORTH CAROLINA"": 1, ""UTAH"": 2, ""MISSOURI"": 1, ""OREGON"": 2, ""WISCONSIN"": 1, ""CALIFORNIA"": 2, ""TENNESSEE"": 1, ""PENNSYLVANIA"": 1, ""TEXAS"": 1}"
FHW,19,"{""NORTH CAROLINA"": 5, ""IDAHO"": 1, ""UTAH"": 8, ""COLORADO"": 1, ""ARIZONA"": 2, ""NEW MEXICO"": 1, ""MONTANA"": 1}"
KIDS,5,"{""NEW JERSEY"": 1, ""TEXAS"": 1, ""UTAH"": 1, ""CALIFORNIA"": 1}"
Newport,31,"{""CALIFORNIA"": 20, ""NORTH CAROLINA"": 1, ""CONNECTICUT"": 2, ""VIRGINIA"": 2, ""UTAH"": 1, ""WASHINGTON"": 2, ""MINNESOTA"": 2}"
Rite of Passage,20,"{""ARIZONA"": 1, ""FLORIDA"": 5, ""UTAH"": 2, ""TEXAS"": 4, ""CALIFORNIA"": 2, ""TENNESSEE"": 1, ""HAWAII"": 1, ""NEVADA"": 2, ""NEBRASKA"": 1}"
Pathway,4,"{""MICHIGAN"": 1, ""OHIO"": 1, ""INDIANA"": 2}"
Sequel,43,"{""FLORIDA"": 11, ""NORTH CAROLINA"": 2, ""NEW MEXICO"": 1, ""NEW JERSEY"": 1, ""ARIZONA"": 3, ""IOWA"": 3, ""UTAH"": 4, ""TENNESSEE"": 2, ""KANSAS"": 2, ""INDIANA"": 1, ""IDAHO"": 1, ""WYOMING"": 1, ""ILLINOIS"": 1, ""OKLAHOMA"": 1, ""OHIO"": 1, ""ALABAMA"": 6, ""MICHIGAN"": 1}"
Straight,12,"{""GEORGIA"": 1, ""OHIO"": 1, ""TEXAS"": 1, ""FLORIDA"": 3, ""MICHIGAN"": 1, ""VIRGINIA"": 2, ""MASSACHUSETTS"": 1, ""MARYLAND"": 1, ""CALIFORNIA"": 1}"
Teen Challenge,45,"{""UTAH"": 1, ""KANSAS"": 1, ""ALABAMA"": 1, ""ARKANSAS"": 1, ""MASSACHUSETTS"": 1, ""IDAHO"": 1, ""OKLAHOMA"": 2, ""INDIANA"": 3, ""VIRGINIA"": 1, ""LOUISIANA"": 3, ""FLORIDA"": 5, ""WYOMING"": 1, ""KENTUCKY"": 1, ""MISSOURI"": 3, ""TEXAS"": 4, ""NORTH CAROLINA"": 2, ""GEORGIA"": 6, ""NEVADA"": 6}"
TSI,27,"{""UTAH"": 1, ""ALABAMA"": 2, ""TENNESSEE"": 1, ""MARYLAND"": 1, ""VIRGINIA"": 1, ""GEORGIA"": 3, ""INDIANA"": 1, ""FLORIDA"": 2, ""IDAHO"": 1}"
UHS,74,"{""ALABAMA"": 3, ""IDAHO"": 4, ""FLORIDA"": 9, ""TENNESSEE"": 7, ""OKLAHOMA"": 1, ""GEORGIA"": 3, ""INDIANA"": 4, ""UTAH"": 2, ""VIRGINIA"": 11, ""ALASKA"": 2, ""MISSISSIPPI"": 2, ""OHIO"": 1, ""MICHIGAN"": 1, ""MISSOURI"": 2, ""NORTH CAROLINA"": 1, ""TEXAS"": 5, ""SOUTH CAROLINA"": 3, ""ARKANSAS"": 1, ""WEST VIRGINIA"": 3, ""ILLINOIS"": 1, ""PENNSYLVANIA"": 1, ""MASSACHUSETTS"": 2, ""NEVADA"": 1, ""WYOMING"": 1}"
Vivant,5,"{""FLORIDA"": 1, ""ALABAMA"": 1, ""SOUTH DAKOTA"": 1, ""NEW JERSEY"": 1, ""ARIZONA"": 1}"
YOI,23,"{""TENNESSEE"": 8, ""FLORIDA"": 7, ""ARKANSAS"": 1}"
WWASPS,36,"{""NEW YORK"": 1, ""CALIFORNIA"": 3, ""MISSISSIPPI"": 1, ""MONTANA"": 1, ""UTAH"": 4, ""NEVADA"": 2, ""COLORADO"": 1, ""SOUTH CAROLINA"": 1, ""LOUISIANA"": 1}"
JRI,19,"{""MASSACHUSETTS"": 13, ""CONNECTICUT"": 3}"
ROP,20,"{""ARIZONA"": 1, ""FLORIDA"": 5, ""UTAH"": 2, ""TEXAS"": 4, ""CALIFORNIA"": 2, ""TENNESSEE"": 1, ""HAWAII"": 1, ""NEVADA"": 2, ""NEBRASKA"": 1}"
