matched_state,project_unique_name,facility_name
ALABAMA,Alabama Baptist Children’s Homes - Dothan,Alabama Baptist Children’s Homes - Dothan
ALABAMA,Alabama Baptist Children's Homes Mobile,Alabama Baptist Children's Homes Mobile
ALABAMA,"Boyd School, Inc.","Boyd School, Inc."
ALABAMA,Brantwood Children's Home,Brantwood Children's Home
ALABAMA,"Childhaven, Inc.","Childhaven, Inc."
ALABAMA,Children's Services Inc. - The Parris Home,Children's Services Inc. - The Parris Home
ALABAMA,Children's Village,Children's Village
ALABAMA,"Chrysalis, A Home for Girls","Chrysalis, A Home for Girls"
ALABAMA,Eagle Rock Boys Ranch,Eagle Rock Boys Ranch
ALABAMA,Family Garden-Males,Family Garden-Males
ALABAMA,Glenwood - Daniel Houses & Drummond,Glenwood - Daniel Houses & Drummond
ALABAMA,Glenwood - McDonough House,Glenwood - McDonough House
ALABAMA,Glenwood - Reynolds House,Glenwood - Reynolds House
ALABAMA,Grace House Ministries,Grace House Ministries
ALABAMA,Haddie's Home,Haddie's Home
ALABAMA,Harris Home for Children,Harris Home for Children
ALABAMA,Higdon Hill Group Home,Higdon Hill Group Home
ALABAMA,Hill Crest RTC,Hill Crest RTC
ALABAMA,James T. Strickland Youth Center,James T. Strickland Youth Center
ALABAMA,Kids to Love Foundation,Kids to Love Foundation
ALABAMA,King's Home - Hayden,King's Home - Hayden
ALABAMA,King's Home - Westover - Males,King's Home - Westover - Males
ALABAMA,King's Ranch and Hannah Homes - Holy Innocents Campus,King's Ranch and Hannah Homes - Holy Innocents Campus
ALABAMA,King's Ranch and Hannah Homes - Wilsonville Campus,King's Ranch and Hannah Homes - Wilsonville Campus
ALABAMA,Laurel Oaks Behavioral Health Center,Laurel Oaks Behavioral Health Center
ALABAMA,Montgomery County Youth Facility,Montgomery County Youth Facility
ALABAMA,Neaves-Davis Center for Children,Neaves-Davis Center for Children
ALABAMA,"North Alabama Christian Children's Home, Inc","North Alabama Christian Children's Home, Inc"
ALABAMA,Presbyterian Home for Children,Presbyterian Home for Children
ALABAMA,Ross-Bell Jefferson County Youth Detention Center,Ross-Bell Jefferson County Youth Detention Center
ALABAMA,SafetyNet Academy,SafetyNet Academy
ALABAMA,SafetyNet Crossings,SafetyNet Crossings
ALABAMA,SafetyNet Villa,SafetyNet Villa
ALABAMA,Southeast Alabama Diversion Center,Southeast Alabama Diversion Center
ALABAMA,St. Mary's Home,St. Mary's Home
ALABAMA,"TEARS, Inc","TEARS, Inc"
ALABAMA,Tennessee Valley Juvenile Detention Center,Tennessee Valley Juvenile Detention Center
ALABAMA,"The Bridge, Inc., GEMS","The Bridge, Inc., GEMS"
ALABAMA,"The Bridge, Inc. Mitchell","The Bridge, Inc. Mitchell"
ALABAMA,"The Bridge, Inc. Northwood","The Bridge, Inc. Northwood"
ALABAMA,"The Bridge, Inc. STEPS Program","The Bridge, Inc. STEPS Program"
ALABAMA,"The Bridge, Inc. Westwood","The Bridge, Inc. Westwood"
ALASKA,Hanson House,Hanson House
ALASKA,Kenai Peninsula Community Care Center Dimmick Retreat & Hardy House,Kenai Peninsula Community Care Center Dimmick Retreat & Hardy House
ALASKA,McCann Center,McCann Center
ALASKA,Mitchell House,Mitchell House
ALASKA,Montana Creek,Montana Creek
ALASKA,Nome Children’s Home,Nome Children’s Home
ALASKA,Residential Youth Care,Residential Youth Care
ARIZONA,FACTS Behavioral Health,FACTS Behavioral Health
ARIZONA,Pathway Drug Abuse Programs,Pathway Drug Abuse Programs
ARKANSAS,Arbor House,Arbor House
ARKANSAS,Arkansas Baptist Home for Children Monticello Campus,Arkansas Baptist Home for Children Monticello Campus
ARKANSAS,Arkansas Baptist Ranch,Arkansas Baptist Ranch
ARKANSAS,Arkansas Juvenile Assessment and Treatment Center,Arkansas Juvenile Assessment and Treatment Center
ARKANSAS,Arkansas Sheriff Youth RANCHs Inc. - Bethesda,Arkansas Sheriff Youth RANCHs Inc. - Bethesda
ARKANSAS,Capstone Treatment Center,Capstone Treatment Center
ARKANSAS,Cartwright House,Cartwright House
ARKANSAS,"Centers for Youth and Families, Inc.","Centers for Youth and Families, Inc."
ARKANSAS,Compact Family Services,Compact Family Services
ARKANSAS,Consolidated Youth Services,Consolidated Youth Services
ARKANSAS,Crestview House,Crestview House
ARKANSAS,"Curt, Cliff & Opal Young Children’s Home","Curt, Cliff & Opal Young Children’s Home"
ARKANSAS,Dana’s House,Dana’s House
ARKANSAS,Delta Family Health and Fitness Center for Children,Delta Family Health and Fitness Center for Children
ARKANSAS,Dermott Juvenile Treatment Facility,Dermott Juvenile Treatment Facility
ARKANSAS,East Arkansas Youth Services,East Arkansas Youth Services
ARKANSAS,Elizabeth Mitchell Centers,Elizabeth Mitchell Centers
ARKANSAS,Fort Smith Children’s Emergency Shelter,Fort Smith Children’s Emergency Shelter
ARKANSAS,Fostering Change Residential Community Reintegration,Fostering Change Residential Community Reintegration
ARKANSAS,Girl’s Shelter of Fort Smith,Girl’s Shelter of Fort Smith
ARKANSAS,H.A.V.E.N.,H.A.V.E.N.
ARKANSAS,Harrisburg Juvenile Treatment Center,Harrisburg Juvenile Treatment Center
ARKANSAS,Henry Hank Wilkins IV House,Henry Hank Wilkins IV House
ARKANSAS,Immerse Arkansas,Immerse Arkansas
ARKANSAS,Joanna Magale Manor,Joanna Magale Manor
ARKANSAS,Joseph Pfeifer Kiwanis Camp,Joseph Pfeifer Kiwanis Camp
ARKANSAS,Little Creek Behavioral Health,Little Creek Behavioral Health
ARKANSAS,Lords Ranch Behavioral Health Care Systems,Lords Ranch Behavioral Health Care Systems
ARKANSAS,Maggie House,Maggie House
ARKANSAS,Mansfield Juvenile Treatment Center,Mansfield Juvenile Treatment Center
ARKANSAS,Millcreek of Arkansas,Millcreek of Arkansas
ARKANSAS,Millcreek of Arkansas PRTF,Millcreek of Arkansas PRTF
ARKANSAS,NeuroRestorative - Timber Ridge,NeuroRestorative - Timber Ridge
ARKANSAS,New Life Children’s Home,New Life Children’s Home
ARKANSAS,Northwest Arkansas Children’s Shelter,Northwest Arkansas Children’s Shelter
ARKANSAS,Open Arms Shelter,Open Arms Shelter
ARKANSAS,Ophelia Polk Moore Home,Ophelia Polk Moore Home
ARKANSAS,Ouachita Children’s Shelter,Ouachita Children’s Shelter
ARKANSAS,Perimeter Behavioral of Forrest City,Perimeter Behavioral of Forrest City
ARKANSAS,Perimeter Behavioral of West Memphis,Perimeter Behavioral of West Memphis
ARKANSAS,Perimeter of the Ozarks,Perimeter of the Ozarks
ARKANSAS,Piney Ridge Treatment Center,Piney Ridge Treatment Center
ARKANSAS,Quapaw House Adolescent Residential Treatment Center,Quapaw House Adolescent Residential Treatment Center
ARKANSAS,Ridge View Program,Ridge View Program
ARKANSAS,Second Chance Ranch,Second Chance Ranch
ARKANSAS,Soaring Wings Ranch,Soaring Wings Ranch
ARKANSAS,Southern Christian Home,Southern Christian Home
ARKANSAS,Teen Challenge Ranch of Northwest Arkansas,Teen Challenge Ranch of Northwest Arkansas
ARKANSAS,Texarkana Baptist Children’s Home,Texarkana Baptist Children’s Home
ARKANSAS,The Boy’s Shelter,The Boy’s Shelter
ARKANSAS,The Centers for Youth and Families - Monticello,The Centers for Youth and Families - Monticello
ARKANSAS,Timothy Hill Children’s Ranch,Timothy Hill Children’s Ranch
ARKANSAS,Trinity Behavioral Health,Trinity Behavioral Health
ARKANSAS,United Methodist Children’s Home Dacus RTC,United Methodist Children’s Home Dacus RTC
ARKANSAS,United Methodist Children’s Home John Magale Manor,United Methodist Children’s Home John Magale Manor
ARKANSAS,United Methodist Children’s Home Little Rock Campus,United Methodist Children’s Home Little Rock Campus
ARKANSAS,United Methodist Children’s Homes Fayetteville Home,United Methodist Children’s Homes Fayetteville Home
ARKANSAS,United Methodist Children’s Homes Mulberry Boy’s Home,United Methodist Children’s Homes Mulberry Boy’s Home
ARKANSAS,United Methodist Children’s Homes Searcy Home,United Methodist Children’s Homes Searcy Home
ARKANSAS,United Methodist Children’s Homes Springdale Girl’s Home,United Methodist Children’s Homes Springdale Girl’s Home
