project_unique_name,facility_name
Elk River Treatment Program (CLOSED,Elk River Treatment Program (CLOSED
Restoration Ranch,Restoration Ranch
Southeastern Psychiatric Management dba Mountain View Hospital Summit Crest Lodge,Southeastern Psychiatric Management dba Mountain View Hospital Summit Crest Lodge
Presbyterian Hospitality House - Granville Home,Presbyterian Hospitality House - Granville Home
Boys Republic Laws Cottage STRTP,Boys Republic Laws Cottage STRTP
Ettie Lee Homes - Diamond L. Ranch,Ettie Lee Homes - Diamond L. Ranch
Open Line - The Oaks,Open Line - The Oaks
Open Line - Woodcliff,Open Line - Woodcliff
"Lamar House – Sunnyvale, CA","Lamar House – Sunnyvale, CA"
Victor Treatment Center - Romberger House,Victor Treatment Center - Romberger House
Vista Del Mar Child and Family Services STRTP,Vista Del Mar Child and Family Services STRTP
Braveheart Academy,Braveheart Academy
Sawmill Academy for Girls,Sawmill Academy for Girls
The Wardle Home,The Wardle Home
Active / Operating Facilities,Active / Operating Facilities
Prairie View Therapeutic Group Homes,Prairie View Therapeutic Group Homes
Confirmed Closed Facilities,Confirmed Closed Facilities
Campbell Regional Juvenile Detention Center,Campbell Regional Juvenile Detention Center
"Community Receiving Home, Inc. d/b/a Renaissance","Community Receiving Home, Inc. d/b/a Renaissance"
Restoration Crisis Center Therapeutic Home,Restoration Crisis Center Therapeutic Home
Cheltenham Youth Facility,Cheltenham Youth Facility
Green Ridge Youth Center,Green Ridge Youth Center
J. DeWeese Carter Center,J. DeWeese Carter Center
Meadow Mountain Youth Center,Meadow Mountain Youth Center
Thomas J.S. Waxter Children’s Center,Thomas J.S. Waxter Children’s Center
Murphy Bernardini Regional Juvenile Detention Center,Murphy Bernardini Regional Juvenile Detention Center
Costello Prep Residential Community Home,Costello Prep Residential Community Home
D.O.V.E.S. Residential Community Home,D.O.V.E.S. Residential Community Home
New Hope Integrated Behavioral Healthcare,New Hope Integrated Behavioral Healthcare
JBFCS Henry Ittleson Community Residence I,JBFCS Henry Ittleson Community Residence I
"Alternatives Residential Care Homes, LLC","Alternatives Residential Care Homes, LLC"
Mables Home,Mables Home
Mt. Gilead Children’s Home,Mt. Gilead Children’s Home
Stepping Stone Services,Stepping Stone Services
Total Access Care Liberty,Total Access Care Liberty
Vinetta Green Home,Vinetta Green Home
Mount Arukah,Mount Arukah
Pearl of Grace Ranch,Pearl of Grace Ranch
RISE,RISE
Outside In Pathway to Recovery,Outside In Pathway to Recovery
Boys Home of the South,Boys Home of the South
Adolescent Recovery of Cumberland Heights / DBA ARCH Academy,Adolescent Recovery of Cumberland Heights / DBA ARCH Academy
Behavior Training Research,Behavior Training Research
Cherokee Home for Children,Cherokee Home for Children
ChildrenFirst Residential Care,ChildrenFirst Residential Care
ChildrenFirst Residential Care- Gasmer,ChildrenFirst Residential Care- Gasmer
Hope for Tomorrow dba Bridge to Hope,Hope for Tomorrow dba Bridge to Hope
"Pathways Youth & Family Services, Inc. dba Habilitative Homes","Pathways Youth & Family Services, Inc. dba Habilitative Homes"
Pleasant Hills Children’s Home,Pleasant Hills Children’s Home
"The Jim H. Green Kidz Harbor, Inc. Dba Kidz Harbor Home","The Jim H. Green Kidz Harbor, Inc. Dba Kidz Harbor Home"
Therapy Associates Dba Star Guides,Therapy Associates Dba Star Guides
Triumph Youth Services/Triumph Academy – Expeditions,Triumph Youth Services/Triumph Academy – Expeditions
Braley & Thompson ACCT House,Braley & Thompson ACCT House
Chrysalis Treatment Center,Chrysalis Treatment Center
"1710 Mount Silliman Way, Antioch, CA 94530","1710 Mount Silliman Way, Antioch, CA 94530"
"6222 Wilshire Blvd Suite 313, Los Angeles, CA 90048;","6222 Wilshire Blvd Suite 313, Los Angeles, CA 90048;"
"2136 Cutler St, Simi Valley, CA 93065;","2136 Cutler St, Simi Valley, CA 93065;"
"1400 Lawrence Rd. Danville, CA 94506","1400 Lawrence Rd. Danville, CA 94506"
