state,unique_name,facility_name
ALABAMA,Alabama Baptist Children’s Homes - Calhoun,Alabama Baptist Children’s Homes - Calhoun
ALABAMA,Alabama Baptist Children's Homes - Morgan,Alabama Baptist Children's Homes - Morgan
ALABAMA,Alabama Clinical Schools,Alabama Clinical Schools
ALABAMA,Alabama Department of Youth Services - Autauga Campus,Alabama Department of Youth Services - Autauga Campus
ALABAMA,Alabama Department of Youth Services - Mt. Meigs,Alabama Department of Youth Services - Mt. Meigs
ALABAMA,Alabama Department of Youth Services - Vacca Facility,Alabama Department of Youth Services - Vacca Facility
ALABAMA,AltaPointe - Adolescent Independence Program-Three Notch Rd,AltaPointe - Adolescent Independence Program-Three Notch Rd
ALABAMA,AltaPointe Health Systems - Baypointe,AltaPointe Health Systems - Baypointe
ALABAMA,Baldwin County Regional Juvenile Detention Center,Baldwin County Regional Juvenile Detention Center
ALABAMA,Beacon Children's Hospital,Beacon Children's Hospital
ALABAMA,Beacon House/Concerned Citizens for Our Youth,Beacon House/Concerned Citizens for Our Youth
ALABAMA,Blessed Hope Boys Academy,Blessed Hope Boys Academy
ALABAMA,Boys & Girls Ranches of AL,Boys & Girls Ranches of AL
ALABAMA,Brewer Porch Children's Center,Brewer Porch Children's Center
ALABAMA,Brewer Porch-STTEP Program,Brewer Porch-STTEP Program
ALABAMA,Brighter Path Courtland,Brighter Path Courtland
ALABAMA,Brighter Path Montgomery,Brighter Path Montgomery
ALABAMA,Brighter Path Tuskegee,Brighter Path Tuskegee
ALABAMA,Burts Place Home for Boys,Burts Place Home for Boys
ALABAMA,Columbus Girls Academy,Columbus Girls Academy
ALABAMA,Coosa Valley Regional Juvenile Detention Center,Coosa Valley Regional Juvenile Detention Center
ALABAMA,Enrestoration Inc,Enrestoration Inc
ALABAMA,Freewill Baptist Home,Freewill Baptist Home
ALABAMA,Jemison Group Home,Jemison Group Home
ALABAMA,Kids to Love Foundation - Davidson Farms,Kids to Love Foundation - Davidson Farms
ALABAMA,Magnolia Creek Treatment Center for Eating Disorders,Magnolia Creek Treatment Center for Eating Disorders
ALABAMA,Moriah Christian Children’s Home,Moriah Christian Children’s Home
ALABAMA,"Pathway, Inc.","Pathway, Inc."
ALABAMA,Pathway of Madison County,Pathway of Madison County
ALABAMA,Pearls of Promise Girls Academy,Pearls of Promise Girls Academy
ALABAMA,Rachel Academy for Girls,Rachel Academy for Girls
ALABAMA,Reclamation Ranch,Reclamation Ranch
ALABAMA,Restoration Youth Academy,Restoration Youth Academy
ALABAMA,Saving Youth Foundation,Saving Youth Foundation
ALABAMA,Sequel TSI Paint Rock Valley,Sequel TSI Paint Rock Valley
ALABAMA,Shelby County Regional Juvenile Detention Facility,Shelby County Regional Juvenile Detention Facility
ALABAMA,Solid Rock Ministries,Solid Rock Ministries
ALABAMA,Southeast Alabama Youth Leadership Academy,Southeast Alabama Youth Leadership Academy
ALABAMA,Southern Preparatory Academy,Southern Preparatory Academy
ALABAMA,Southern Oaks Center,Southern Oaks Center
ALABAMA,Team Achievers Discipline Academy,Team Achievers Discipline Academy
ALABAMA,The Pinnacle Schools,The Pinnacle Schools
ALABAMA,The START Program,The START Program
ALABAMA,Three Springs New Direction,Three Springs New Direction
ALABAMA,Tri-Wil,Tri-Wil
ALABAMA,Tuscaloosa County Juvenile Detention Center,Tuscaloosa County Juvenile Detention Center
ALABAMA,United Methodist Children's Home - Mobile Group Home,United Methodist Children's Home - Mobile Group Home
ALABAMA,United Methodist Children's Home - The Settlement,United Methodist Children's Home - The Settlement
ALABAMA,United Methodist Children's Home -Tuscaloosa ‘,United Methodist Children's Home -Tuscaloosa ‘
ALABAMA,United Methodist Children’s Home - Wiregrass,United Methodist Children’s Home - Wiregrass
ALABAMA,Westwood Residential Treatment Center,Westwood Residential Treatment Center
ALABAMA,Wiregrass Children's Home,Wiregrass Children's Home
ALASKA,AK Child & Family - Jesse Lee Campus,AK Child & Family - Jesse Lee Campus
ALASKA,AK Child & Family - Maplewood Campus,AK Child & Family - Maplewood Campus
