project_unique_name,facility_name,address_str,location_str,notes
Restoration Ranch,Restoration Ranch,"722 Little Israel Rd, Tuscumbia, AL 3567, AL",,
Presbyterian Hospitality House - Granville Home,Presbyterian Hospitality House - Granville Home,"1145 W Granville St, Palmer, AK 99645, AK",,
Boys Republic Laws Cottage STRTP,Boys Republic Laws Cottage STRTP,"14505 Kramer Ranch Rd, Chino Hills, CA 9179, CA",,
Braveheart Academy,Braveheart Academy,"18051 SE 60th St, Morriston, Florida, 32668, United States, FL",,
Sawmill Academy for Girls,Sawmill Academy for Girls,"2609 E Springhill Rd, Tallahassee 32305, FL",,
The Wardle Home,The Wardle Home,"North ID, ID",,
Prairie View Therapeutic Group Homes,Prairie View Therapeutic Group Homes,"Marshall County, IN (Address Confidential), IN",,
Campbell Regional Juvenile Detention Center,Campbell Regional Juvenile Detention Center,"590 Columbia Street, Newport, Kentucky 41071​, KY",,
"Community Receiving Home, Inc. d/b/a Renaissance","Community Receiving Home, Inc. d/b/a Renaissance","6177 Bayou Rapides Rd, Alexandria LA 71303, LA",,
Restoration Crisis Center Therapeutic Home,Restoration Crisis Center Therapeutic Home,"Shreveport LA 71149, LA",,
Murphy Bernardini Regional Juvenile Detention Center,Murphy Bernardini Regional Juvenile Detention Center,"1545 E Fifth St, Carson City, 89701, NV",,
Costello Prep Residential Community Home,Costello Prep Residential Community Home,"800 Carranza Rd, Tabernacle, N.J. 08088, NJ",,
"Alternatives Residential Care Homes, LLC","Alternatives Residential Care Homes, LLC","736 Cherryville Rd, Shelby, 28150, NC",,
Mables Home,Mables Home,"112 Allen Ave, Franklinton, 27525, NC",,
Mt. Gilead Children’s Home,Mt. Gilead Children’s Home,"205 East Ingram Ave, Mt. Gilead, 27306, NC",,
Total Access Care Liberty,Total Access Care Liberty,"901 Liberty Dr, Thomasville, 27360, NC",,
Vinetta Green Home,Vinetta Green Home,"1415 Old Tree Ln, Charlotte, 28216, NC",,
Mount Arukah,Mount Arukah,"PO Box 1352 Jenks OK 74037, OK",,
Pearl of Grace Ranch,Pearl of Grace Ranch,"Guthrie OK 73044, OK",,
RISE,RISE,"Po Box 127 Ft. Gibson OK 74434, OK",,
Outside In Pathway to Recovery,Outside In Pathway to Recovery,"905 East Pittsburgh Street Greensburg, PA , 15601, PA",,
Adolescent Recovery of Cumberland Heights / DBA ARCH Academy,Adolescent Recovery of Cumberland Heights / DBA ARCH Academy,"1062 Highway 70 Kingston Springs TN 37082, TN",,
Cherokee Home for Children,Cherokee Home for Children,"Hwy 16 N Cherokee TX 76832, TX",,
ChildrenFirst Residential Care,ChildrenFirst Residential Care,"[Address redacted pursuant to Section 5.5.1. of the ORR Unaccompanied Alien Children Bureau Policy Guide], TX",,
ChildrenFirst Residential Care- Gasmer,ChildrenFirst Residential Care- Gasmer,"[Address redacted pursuant to Section 5.5.1. of the ORR Unaccompanied Alien Children Bureau Policy Guide], TX",,
"Pathways Youth & Family Services, Inc. dba Habilitative Homes","Pathways Youth & Family Services, Inc. dba Habilitative Homes","9019 Old Sky Hbr San Antonio TX 78242, TX",,
Pleasant Hills Children’s Home,Pleasant Hills Children’s Home,"Hwy 84 East PR 292 Fairfield TX 75840, TX",,
"The Jim H. Green Kidz Harbor, Inc. Dba Kidz Harbor Home","The Jim H. Green Kidz Harbor, Inc. Dba Kidz Harbor Home","638 Harbor Dr Liverpool TX 77577, TX",,
Chrysalis Treatment Center,Chrysalis Treatment Center,"125 S. Division St., Powell, WY 307-254-2321, WY",,
