inferred_state,source_field,project_unique_name
ALABAMA,address.state,Elk River Treatment Program (CLOSED
ALABAMA,address.state,Southeastern Psychiatric Management dba Mountain View Hospital Summit Crest Lodge
CALIFORNIA,address.state,Ettie Lee Homes - Diamond L. Ranch
CALIFORNIA,address.state,Open Line - The Oaks
CALIFORNIA,address.state,Open Line - Woodcliff
CALIFORNIA,project-name:abbrev,"Lamar House – Sunnyvale, CA"
CALIFORNIA,address.state,Victor Treatment Center - Romberger House
CALIFORNIA,address.state,Vista Del Mar Child and Family Services STRTP
INDIANA,address.state,Active / Operating Facilities
INDIANA,address.state,Confirmed Closed Facilities
MARYLAND,address.state,Cheltenham Youth Facility
MARYLAND,address.state,Green Ridge Youth Center
MARYLAND,address.state,J. DeWeese Carter Center
MARYLAND,address.state,Meadow Mountain Youth Center
MARYLAND,address.state,Thomas J.S. Waxter Children’s Center
NEW JERSEY,address.state,D.O.V.E.S. Residential Community Home
NEW JERSEY,address.state,New Hope Integrated Behavioral Healthcare
NEW YORK,address.state,JBFCS Henry Ittleson Community Residence I
NORTH CAROLINA,address.state,Stepping Stone Services
SOUTH CAROLINA,address.state,Boys Home of the South
TEXAS,address.state,Behavior Training Research
TEXAS,address.state,Hope for Tomorrow dba Bridge to Hope
UTAH,address.state,Therapy Associates Dba Star Guides
UTAH,address.state,Triumph Youth Services/Triumph Academy – Expeditions
VIRGINIA,address.state,Braley & Thompson ACCT House
CALIFORNIA,project-name:abbrev,"1710 Mount Silliman Way, Antioch, CA 94530"
CALIFORNIA,project-name:abbrev,"6222 Wilshire Blvd Suite 313, Los Angeles, CA 90048;"
CALIFORNIA,project-name:abbrev,"2136 Cutler St, Simi Valley, CA 93065;"
CALIFORNIA,project-name:abbrev,"1400 Lawrence Rd. Danville, CA 94506"
,NONE,Restoration Ranch
,NONE,Presbyterian Hospitality House - Granville Home
,NONE,Boys Republic Laws Cottage STRTP
,NONE,Braveheart Academy
,NONE,Sawmill Academy for Girls
,NONE,The Wardle Home
,NONE,Prairie View Therapeutic Group Homes
,NONE,Campbell Regional Juvenile Detention Center
,NONE,"Community Receiving Home, Inc. d/b/a Renaissance"
,NONE,Restoration Crisis Center Therapeutic Home
,NONE,Murphy Bernardini Regional Juvenile Detention Center
,NONE,Costello Prep Residential Community Home
,NONE,"Alternatives Residential Care Homes, LLC"
,NONE,Mables Home
,NONE,Mt. Gilead Children’s Home
,NONE,Total Access Care Liberty
,NONE,Vinetta Green Home
,NONE,Mount Arukah
,NONE,Pearl of Grace Ranch
,NONE,RISE
,NONE,Outside In Pathway to Recovery
,NONE,Adolescent Recovery of Cumberland Heights / DBA ARCH Academy
,NONE,Cherokee Home for Children
,NONE,ChildrenFirst Residential Care
,NONE,ChildrenFirst Residential Care- Gasmer
,NONE,"Pathways Youth & Family Services, Inc. dba Habilitative Homes"
,NONE,Pleasant Hills Children’s Home
,NONE,"The Jim H. Green Kidz Harbor, Inc. Dba Kidz Harbor Home"
,NONE,Chrysalis Treatment Center
